homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Liverpool,Tottenham,2,0,2,0.4108,0.2492,0.3373,0.06101562500000002,0.48750000000000004,0.45148437499999994,0.267265625,0.4125,0.320234375,0.3234782608695652,1,2,0.016761677122640428,0.025059972563842528,0.08055830458905325,2.22,3.41,3.61,2.22,3.47,3.55
Man United,Watford,2,0,2,0.6205,0.243,0.1359,0.34820312499999995,0.2875000000000001,0.36429687499999996,0.394375,0.42500000000000004,0.18062499999999998,0.36,-3,-4,-0.2238967051467049,-0.02332031394531392,-0.022868549435886898,1.27,6.4,13.0,1.27,6.45,12.75
Middlesbrough,Everton,0,0,2,0.2533,0.3028,0.4437,0.056640625,0.4375,0.505859375,0.1703125,0.475,0.35468750000000004,-0.12,10,8,1.4455687830687833,-0.022939560439560455,-0.005713460444497581,3.8,3.35,2.18,3.89,3.33,2.16
Stoke,Crystal Palace,1,0,2,0.3867,0.2332,0.3743,0.273359375,0.6375,0.08914062500000003,0.32132812499999996,0.48750000000000004,0.191171875,0.20000000000000007,4,-7,-0.26805555555555616,-0.019827068947912932,-0.04963706228412111,2.13,3.42,3.86,2.13,3.32,4.0
Sunderland,Southampton,0,4,2,0.3299,0.295,0.3747,0.28304687500000003,0.6625,0.05445312500000002,0.23500000000000004,0.7,0.06500000000000002,0.12,3,7,-0.7650793650793655,0.05340023037391456,-0.030960850581593632,3.92,3.54,2.07,3.81,3.6,2.08
West Ham,West Brom,2,2,2,0.2537,0.3119,0.4342,0.31914062499999996,0.3125,0.36835937500000004,0.27156250000000004,0.575,0.1534375,0.16000000000000003,6,2,2.148214285714285,-0.019079346507752074,0.020125147756726733,2.28,3.25,3.65,2.3,3.28,3.56
Burnley,Chelsea,1,1,2,0.2903,0.3188,0.3908,0.161328125,0.4125000000000001,0.4261718749999999,0.5153125,0.17500000000000004,0.3096875,-0.002962962962963056,3,12,0.4065679690679693,0.04548755899970472,-0.04327774621892267,8.59,4.73,1.44,8.2,4.44,1.49
Swansea,Leicester,2,0,2,0.4838,0.2352,0.2772,0.36250000000000004,0.7,-0.06249999999999997,0.240078125,0.7125,0.047421874999999974,0.32,0,1,-0.3402777777777768,0.061666424534071604,0.045575237670825886,2.44,3.3,3.25,2.51,3.36,3.08
Bournemouth,Man City,0,2,2,0.1758,0.1646,0.6294,-0.007500000000000007,0.55,0.45749999999999996,0.143359375,0.6125,0.24414062499999994,-0.24,10,10,0.7625992063492064,-0.01912396205159364,-0.017393948643948637,6.97,4.95,1.48,7.7,5.17,1.43
Chelsea,Swansea,3,1,2,0.8915,0.0573,0.0207,0.3825,0.30000000000000004,0.31749999999999995,0.5378125,0.275,0.18718749999999998,0.92,-13,-14,0.2693783068783069,0.04991949091213796,-0.07046450102758152,1.27,6.51,12.91,1.28,6.2,13.0
