homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Arsenal,Crystal Palace,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,1.26,6.45,14.01,1.29,5.9,12.75
Leicester,Everton,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,14.0,2,14,nan,nan,nan,nan,nan,nan,3.14,3.38,2.46,3.11,3.4,2.47
Man United,Swansea,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,16.0,4,16,nan,nan,nan,nan,nan,nan,1.37,5.1,10.6,1.45,4.81,8.25
QPR,Hull,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,17.0,6,17,nan,nan,nan,nan,nan,nan,2.48,3.26,3.22,2.31,3.24,3.59
Stoke,Aston Villa,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,14.0,8,14,nan,nan,nan,nan,nan,nan,1.95,3.47,4.55,2.01,3.34,4.51
West Brom,Sunderland,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,10,18,nan,nan,nan,nan,nan,nan,2.21,3.34,3.73,2.09,3.42,4.03
West Ham,Tottenham,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,19.0,12,19,nan,nan,nan,nan,nan,nan,3.96,3.55,2.06,3.92,3.67,2.03
Liverpool,Southampton,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,14,19,nan,nan,nan,nan,nan,nan,1.35,5.48,10.3,1.43,4.83,8.75
Newcastle,Man City,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,20.0,15,20,nan,nan,nan,nan,nan,nan,5.8,4.28,1.63,5.55,4.38,1.63
Burnley,Chelsea,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,18.0,17,18,nan,nan,nan,nan,nan,nan,9.77,4.81,1.41,9.25,5.01,1.4
Aston Villa,Newcastle,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,17.0,3,17,nan,nan,nan,nan,nan,nan,2.56,3.36,3.01,2.67,3.33,2.89
Chelsea,Leicester,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,11.0,4,9,nan,nan,nan,nan,nan,nan,1.21,7.28,17.7,1.2,7.56,18.26
Crystal Palace,West Ham,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,16.0,19,17,nan,nan,nan,nan,nan,nan,2.44,3.25,3.3,2.62,3.42,2.94
Everton,Arsenal,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,11.0,13,3,nan,nan,nan,nan,nan,nan,2.72,3.45,2.76,2.66,3.48,2.82
Southampton,West Brom,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,16.0,20,12,nan,nan,nan,nan,nan,nan,1.86,3.76,4.62,1.68,4.07,5.63
Swansea,Burnley,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,18.0,6,19,nan,nan,nan,nan,nan,nan,1.64,4.13,5.98,1.68,3.89,5.99
Hull,Stoke,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,16.0,7,18,nan,nan,nan,nan,nan,nan,2.48,3.18,3.31,2.46,3.24,3.28
Sunderland,Man United,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,15.0,16,17,nan,nan,nan,nan,nan,nan,4.95,3.93,1.79,5.54,4.35,1.64
Tottenham,QPR,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,16.0,8,18,nan,nan,nan,nan,nan,nan,1.49,4.64,7.5,1.61,4.2,6.18
Man City,Liverpool,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,17.0,9,8,nan,nan,nan,nan,nan,nan,1.83,4.05,4.43,1.85,4.01,4.35
Burnley,Man United,0,0,8,0.0985,0.1568,0.7378,-0.06375,0.85,0.21375000000000002,0.5,0.0,0.5,0.0,0.3333333333333333,19,9.0,19,14,4.5,3.3333333333333335,0.1111111111111111,0.1,0.2727272727272727,0.09090909090909091,6.11,4.18,1.62,6.84,4.23,1.57
Everton,Chelsea,3,6,8,0.0497,0.063,0.6668,0.21875,0.25,0.53125,0.5,0.0,0.5,0.3333333333333333,1.0,11,3.0,12,1,4.0,3.6666666666666665,0.25,0.2727272727272727,0.15384615384615385,0.1111111111111111,3.79,3.33,2.19,4.36,3.49,1.98
Man City,Stoke,0,1,8,0.715,0.1676,0.1113,0.56125,0.35,0.08875000000000002,0.5,0.0,0.5,1.0,0.3333333333333333,6,10.0,4,15,2.25,6.333333333333333,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.1111111111111111,1.2,7.8,17.95,1.23,7.14,14.99
Newcastle,Crystal Palace,3,3,8,0.0,0.1889,0.8111,0.21375000000000002,0.85,-0.06375,0.5,0.0,0.5,0.0,0.0,19,19.0,16,20,0.0,2.0,0.0,0.25,0.15384615384615385,0.14285714285714285,1.74,3.78,5.58,1.68,3.91,5.91
QPR,Sunderland,1,0,8,0.0,0.1889,0.8111,-0.09375,0.75,0.34375,0.5,0.0,0.5,0.0,0.3333333333333333,17,15.0,20,15,3.1666666666666665,3.5,0.0,0.2857142857142857,0.09090909090909091,0.2,2.43,3.23,3.35,2.56,3.28,3.05
Swansea,West Brom,3,0,8,0.0,1.0,0.0,0.53125,0.25,0.21875,0.5,0.0,0.5,1.0,0.3333333333333333,5,11.0,2,13,2.0,4.0,0.1,0.0,0.0,0.0,1.88,3.66,4.67,2.02,3.5,4.16
West Ham,Southampton,1,3,8,0.0,0.4346,0.5654,0.34124999999999994,0.55,0.10874999999999999,0.5,0.0,0.5,0.0,0.0,19,20.0,10,20,4.5,2.0,0.0,0.08333333333333333,0.1,0.16666666666666666,2.8,3.43,2.69,3.35,3.31,2.36
Aston Villa,Hull,2,1,8,0.0,1.0,0.0,0.35,0.30000000000000004,0.35,0.5,0.0,0.5,0.3333333333333333,1.0,12,7.0,7,9,0.0,2.75,0.0,0.09090909090909091,0.0,0.0,2.33,3.16,3.63,2.53,3.17,3.24
Leicester,Arsenal,1,1,8,0.3606,0.1553,0.3396,0.03125,0.55,0.41874999999999996,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,9,11.0,18,6,3.6666666666666665,4.333333333333333,0.18181818181818182,0.15384615384615385,0.15384615384615385,0.25,4.54,3.8,1.87,4.37,3.67,1.93
Tottenham,Liverpool,0,3,8,0.4555,0.0001,0.0,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.5,0.0,0.5,1.0,0.0,7,19.0,4,12,3.6,3.6666666666666665,0.2222222222222222,0.09090909090909091,0.0,0.3333333333333333,2.69,3.48,2.77,2.78,3.62,2.59
Arsenal,Man City,2,2,9,0.0,0.2397,0.7603,0.308309375,0.4225,0.269190625,0.5,0.0,0.5,1.0,1.0,3,10.0,7,6,2.3333333333333335,2.6,0.14285714285714285,0.15384615384615385,0.25,0.0,3.03,3.48,2.48,2.49,3.33,3.08
Chelsea,Swansea,4,2,9,0.7853,0.2147,0.0,0.495,0.010000000000000009,0.495,0.5,0.0,0.5,1.0,1.0,6,8.0,1,2,2.7,1.25,0.07407407407407407,0.4,0.0,0.07142857142857142,1.32,5.62,12.04,1.31,5.74,12.51
Crystal Palace,Burnley,0,0,9,0.5366,0.4634,0.0,0.10999999999999999,0.78,0.10999999999999999,0.5,0.0,0.5,0.0,0.0,20,20.0,20,19,2.25,12.0,0.1111111111111111,0.0,0.17647058823529413,0.1,2.23,3.35,3.66,2.22,3.38,3.64
Liverpool,Aston Villa,0,1,9,0.0,0.4895,0.5105,0.319378125,0.25750000000000006,0.4231218749999999,0.5,0.0,0.5,1.0,1.0,6,6.0,6,3,2.4,3.5,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.0,1.3,5.92,11.85,1.3,6.05,11.5
Southampton,Newcastle,4,0,9,0.0,1.0,0.0,0.330275,0.505,0.164725,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,15,14.0,9,16,4.0,2.75,0.0,0.0,0.0,0.0,1.79,3.78,5.06,1.75,3.83,5.37
Stoke,Leicester,0,1,9,0.0,1.0,0.0,0.339109375,0.5325,0.12839062500000004,0.5,0.0,0.5,0.0,0.0,19,19.0,9,13,6.0,1.5,0.0,0.0,0.14285714285714285,0.07407407407407407,2.1,3.35,4.07,2.18,3.55,3.58
Sunderland,Tottenham,2,2,9,0.0,0.4895,0.5105,0.09710937500000004,0.5874999999999999,0.31539062500000004,0.5,0.0,0.5,0.3333333333333333,1.0,17,11.0,20,8,3.6666666666666665,2.5,0.09090909090909091,0.1,0.1,0.0,3.71,3.5,2.15,3.6,3.59,2.14
West Brom,Everton,0,2,9,0.378,0.1545,0.3214,0.1375,0.725,0.1375,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,12,18.0,16,20,2.0,4.333333333333333,0.2,0.15384615384615385,0.2857142857142857,0.18181818181818182,3.57,3.48,2.21,3.64,3.54,2.15
Man United,QPR,4,0,9,0.9456,0.0508,0.0,0.18442187499999999,0.5875,0.228078125,0.5,0.0,0.5,0.0,0.0,18,20.0,16,13,2.8,9.0,0.07142857142857142,0.0,0.4,0.2222222222222222,1.27,6.33,13.29,1.27,6.43,13.3
Hull,West Ham,2,2,9,0.1018,0.1741,0.7206,0.201334375,0.6425,0.15616562500000003,0.5,0.0,0.5,0.3333333333333333,1.0,18,8.0,13,15,4.5,2.125,0.1111111111111111,0.17647058823529413,0.05263157894736842,0.1111111111111111,2.15,3.33,3.91,2.18,3.36,3.72
Aston Villa,Arsenal,0,3,9,0.4722,0.3356,0.1921,0.47406250000000005,0.2749999999999999,0.25093750000000004,0.42625,0.35,0.22375,0.8,0.4,4,13.0,2,7,1.375,4.166666666666666,0.09090909090909091,0.09775641025641026,0.05555555555555555,0.18055555555555555,4.71,3.63,1.88,5.18,3.77,1.78
Burnley,Sunderland,0,0,9,0.1742,0.326,0.4998,0.17499999999999996,0.65,0.17500000000000002,0.16874999999999998,0.75,0.08125000000000002,0.2,0.2,16,19.0,19,16,3.75,3.083333333333333,0.05555555555555555,0.14285714285714285,0.13636363636363635,0.12777777777777777,2.49,3.36,3.12,2.6,3.23,3.08
Newcastle,Hull,2,2,9,0.2124,0.2262,0.5582,0.09968749999999997,0.675,0.22531249999999997,0.13374999999999998,0.65,0.21625,0.2,0.6,16,13.0,19,12,2.25,2.875,0.08333333333333333,0.10101010101010101,0.20192307692307693,0.09090909090909091,2.14,3.4,3.86,2.12,3.44,3.88
QPR,Stoke,2,2,9,0.1146,0.6176,0.2677,0.13374999999999998,0.65,0.21625,0.2849999999999999,0.30000000000000004,0.41500000000000004,0.6,0.8,7,4.0,16,13,3.3833333333333333,4.916666666666666,0.027777777777777776,0.09774436090225563,0.045454545454545456,0.05555555555555555,2.77,3.15,2.91,2.77,3.15,2.91
Swansea,Southampton,0,1,9,0.8778,0.1218,0.0,0.28500000000000003,0.29999999999999993,0.41500000000000004,0.52,0.19999999999999996,0.28,1.2,0.6,2,12.0,4,5,1.9375,2.125,0.15000000000000002,0.125,0.0,0.20833333333333331,2.46,3.34,3.18,2.72,3.43,2.77
West Ham,Liverpool,3,1,9,0.0404,0.1002,0.8497,0.2,0.6,0.2,-0.10499999999999998,0.7,0.405,0.0,0.6,20,12.0,15,8,3.25,2.895833333333333,0.125,0.13368983957219252,0.13333333333333333,0.16666666666666666,4.56,3.89,1.84,5.2,3.94,1.74
Everton,Crystal Palace,2,3,9,0.0846,0.0496,0.1623,0.3025,0.55,0.14749999999999996,0.08125000000000002,0.75,0.16874999999999998,0.2,0.2,19,19.0,14,20,3.2142857142857144,1.8571428571428572,0.21323529411764708,0.25,0.3269230769230769,0.15476190476190477,1.39,5.09,9.52,1.53,4.42,7.09
Leicester,Man United,5,3,9,0.2749,0.4445,0.2806,0.29531250000000003,0.375,0.32968749999999997,0.25,0.5,0.25,0.4,0.4,12,15.0,11,12,3.333333333333333,3.416666666666667,0.14646464646464646,0.05,0.09775641025641026,0.045454545454545456,5.64,4.23,1.65,5.43,3.94,1.72
Man City,Chelsea,1,1,9,0.2163,0.1511,0.5318,0.21875,0.25,0.53125,0.15499999999999997,0.30000000000000004,0.5449999999999999,0.6,1.2,12,2.0,9,1,5.125,2.583333333333333,0.16666666666666666,0.38636363636363635,0.11688311688311688,0.1437908496732026,2.39,3.56,3.12,2.48,3.45,3.06
Tottenham,West Brom,0,1,9,0.8838,0.1158,0.0,0.30906249999999996,0.675,0.015937499999999993,0.23500000000000004,0.7,0.06500000000000002,0.6,0.2,12,17.0,9,20,5.3,6.0,0.1111111111111111,0.0,0.08823529411764706,0.1,1.53,4.39,7.25,1.5,4.71,7.02
Arsenal,Tottenham,1,1,9,0.334,0.2428,0.4197,0.387578125,0.4625,0.149921875,0.35,0.30000000000000004,0.35,0.8,0.8,4,11.0,4,9,2.416666666666667,2.5,0.1380952380952381,0.11666666666666667,0.19166666666666665,0.16666666666666666,1.8,3.86,4.87,1.83,3.9,4.66
Chelsea,Aston Villa,3,0,9,0.0,0.4945,0.5055,0.439765625,0.26249999999999996,0.29773437500000005,0.5,0.0,0.5,1.2,1.2,1,2.0,1,3,2.9611111111111112,4.25,0.10600255427841634,0.17142857142857143,0.09090909090909091,0.0,1.22,7.05,16.5,1.22,7.16,16.94
Crystal Palace,Leicester,2,0,9,0.1884,0.4967,0.3149,0.24554687500000005,0.38749999999999996,0.366953125,0.10874999999999999,0.55,0.34124999999999994,0.2,0.6,18,13.0,15,6,3.4583333333333335,4.75,0.05555555555555555,0.0625,0.08823529411764706,0.037037037037037035,2.64,3.37,2.9,2.67,3.5,2.79
Hull,Man City,2,4,9,0.1774,0.2026,0.6148,0.215390625,0.5125,0.27210937500000004,0.23,0.4,0.37,0.4,0.8,16,12.0,12,9,3.1666666666666665,2.2375,0.14646464646464646,0.14358974358974358,0.08881578947368421,0.06666666666666667,6.79,4.32,1.56,7.32,4.81,1.48
Liverpool,Everton,1,1,9,0.1842,0.2741,0.5414,0.13757812500000002,0.6625,0.199921875,0.16000000000000006,0.3999999999999999,0.44000000000000006,0.6,0.8,12,11.0,11,16,10.2,3.5416666666666665,0.08333333333333333,0.16783216783216784,0.14166666666666666,0.09090909090909091,1.96,3.81,4.04,1.92,3.69,4.38
Man United,West Ham,2,1,9,0.5371,0.1817,0.2469,0.19375,0.5,0.30624999999999997,0.29124999999999995,0.3500000000000001,0.35874999999999996,0.6,0.8,11,10.0,14,10,2.4555555555555557,3.0625,0.14097744360902253,0.15073529411764708,0.2,0.14646464646464646,1.39,5.44,8.41,1.32,6.48,9.24
Southampton,QPR,2,1,9,0.8857,0.0039,0.0,0.46148437499999995,0.4125000000000001,0.12601562499999996,0.52,0.6,-0.12000000000000005,0.8,0.0,10,20.0,5,17,2.7142857142857144,6.75,0.2,0.0,0.0,0.21637426900584794,1.47,4.63,8.14,1.57,4.34,6.61
Sunderland,Swansea,0,0,9,0.4643,0.1814,0.3031,0.19281250000000003,0.575,0.23218750000000002,0.26375,0.55,0.18624999999999997,0.4,0.6,17,15.0,18,6,4.833333333333333,3.375,0.2121212121212121,0.2909090909090909,0.11666666666666667,0.10467980295566502,2.96,3.23,2.69,2.88,3.36,2.67
West Brom,Burnley,4,0,9,0.2891,0.7109,0.0,0.22,0.6,0.18000000000000002,0.08125000000000002,0.75,0.16874999999999998,0.2,0.2,18,19.0,16,20,6.5,7.833333333333333,0.1,0.0,0.23376623376623376,0.05,2.01,3.46,4.29,1.92,3.46,4.79
Stoke,Newcastle,1,0,9,0.0,1.0,0.0,0.22812500000000002,0.625,0.14687499999999998,-0.04500000000000001,0.9,0.145,0.0,0.2,20,18.0,16,19,6.0,2.5,0.0,0.0,0.13392857142857142,0.2,2.13,3.42,3.86,2.17,3.37,3.8
Aston Villa,Man City,0,2,10,0.0579,0.125,0.8103,0.17257812499999997,0.48750000000000004,0.339921875,0.18462812499999998,0.36750000000000005,0.447871875,0.5714285714285714,1.0,10,2.0,5,3,1.9166666666666667,2.602777777777778,0.06060606060606061,0.1623931623931624,0.14814814814814814,0.11111111111111112,8.05,4.57,1.48,8.7,5.0,1.42
Hull,Crystal Palace,2,0,10,0.1665,0.1169,0.4805,0.08125000000000002,0.5,0.41874999999999996,0.09129999999999999,0.56,0.34869999999999995,0.2857142857142857,0.5714285714285714,19,11.0,16,11,2.7777777777777772,2.3492063492063493,0.16430976430976432,0.26666666666666666,0.12587719298245614,0.142390289449113,2.12,3.44,3.89,2.18,3.45,3.67
Leicester,Burnley,2,2,10,0.9448,0.0517,0.0,0.295546875,0.5875,0.11695312499999998,0.43450000000000005,0.5599999999999999,0.005500000000000005,0.7142857142857143,0.14285714285714285,6,19.0,8,20,3.222222222222222,6.888888888888888,0.20875420875420878,0.0,0.12767094017094016,0.10000000000000002,1.79,3.72,5.16,1.72,4.05,5.2
Liverpool,West Brom,2,1,10,0.4069,0.4688,0.1244,0.10874999999999999,0.55,0.34124999999999994,0.20611249999999998,0.505,0.2888875,0.5714285714285714,0.5714285714285714,10,9.0,15,11,7.8,4.833333333333333,0.06944444444444443,0.03333333333333333,0.12474747474747476,0.06666666666666667,1.46,4.78,7.95,1.48,4.69,7.7
Sunderland,Stoke,3,1,10,0.2358,0.3353,0.4289,0.18875000000000003,0.475,0.33625,0.230071875,0.4225,0.34742812500000003,0.42857142857142855,0.7142857142857143,16,6.0,17,11,4.888888888888888,3.944444444444444,0.1414141414141414,0.14849624060150377,0.07777777777777778,0.06878306878306878,2.55,3.23,3.14,2.67,3.25,2.96
Swansea,Newcastle,2,2,10,0.7727,0.2273,0.0,0.22531249999999997,0.675,0.09968749999999997,0.34870000000000007,0.6699999999999999,-0.018699999999999994,0.8571428571428571,0.14285714285714285,6,19.0,7,20,2.125,7.0,0.10000000000000002,0.0,0.030303030303030304,0.16111111111111112,1.92,3.65,4.44,2.02,3.61,4.0
Chelsea,Arsenal,2,0,10,0.5915,0.2155,0.1893,0.453125,0.25,0.296875,0.505140625,0.14749999999999996,0.347359375,1.2857142857142858,0.7142857142857143,1,5.0,1,5,2.6824074074074074,3.7777777777777772,0.12949189893070892,0.1762820512820513,0.06060606060606061,0.12037037037037036,1.67,4.1,5.64,1.72,3.99,5.3
Man United,Everton,2,1,10,0.4321,0.2508,0.3147,0.339921875,0.48750000000000004,0.17257812499999997,0.39283750000000006,0.2849999999999999,0.3221625,0.8571428571428571,0.7142857142857143,6,7.0,10,17,2.5259259259259257,3.0944444444444446,0.17731829573934835,0.14219114219114218,0.158974358974359,0.07449494949494949,1.66,4.19,5.62,1.59,4.48,5.96
Tottenham,Southampton,1,0,10,0.1926,0.2407,0.5654,0.12249999999999994,0.3500000000000001,0.5275,0.0405625,0.505,0.4544375,0.42857142857142855,0.8571428571428571,17,4.0,15,3,5.866666666666667,2.3333333333333335,0.07407407407407407,0.11363636363636365,0.09215686274509804,0.13888888888888887,2.16,3.45,3.73,2.45,3.48,3.08
West Ham,QPR,2,0,10,0.8655,0.0954,0.0319,0.25289062500000004,0.6375,0.10960937500000002,0.30579999999999996,0.78,-0.08580000000000002,0.42857142857142855,0.0,17,20.0,16,18,2.785714285714286,6.166666666666667,0.16025641025641027,0.03333333333333333,0.11919191919191918,0.1793372319688109,1.91,3.61,4.56,1.89,3.67,4.55
Arsenal,Hull,2,2,10,0.3796,0.2498,0.3678,0.22164062500000004,0.5375,0.240859375,0.322196875,0.47750000000000004,0.200303125,0.7142857142857143,0.5714285714285714,10,13.0,7,12,2.5,3.027777777777778,0.1128968253968254,0.13400673400673402,0.18333333333333332,0.08727272727272728,1.44,4.87,8.39,1.42,4.96,8.7
Burnley,West Ham,1,3,10,0.0798,0.236,0.684,0.16125,0.525,0.31375,0.1925,0.615,0.1925,0.2857142857142857,0.5714285714285714,19,11.0,20,8,3.4444444444444446,3.125,0.037037037037037035,0.12613122171945704,0.0909090909090909,0.18097643097643099,2.83,3.37,2.7,2.73,3.46,2.75
Crystal Palace,Chelsea,1,2,10,0.1304,0.1601,0.6951,0.26617187499999995,0.26250000000000007,0.471328125,0.289609375,0.3125,0.397890625,0.5714285714285714,1.0,15,3.0,15,1,3.1944444444444446,2.722222222222222,0.0787037037037037,0.3131313131313131,0.05882352941176471,0.11669389978213507,8.5,4.68,1.45,9.03,4.52,1.45
Everton,Aston Villa,3,0,10,0.2989,0.2188,0.4732,0.14210937499999998,0.7375,0.12039062499999997,-0.018699999999999994,0.6699999999999999,0.34870000000000007,0.14285714285714285,0.8571428571428571,20,4.0,17,10,3.0873015873015874,5.166666666666667,0.18137254901960786,0.11428571428571428,0.31794871794871793,0.05882352941176471,1.56,4.29,6.76,1.53,4.7,6.56
Man City,Tottenham,4,1,10,0.291,0.3136,0.3952,0.384296875,0.38749999999999996,0.22820312500000003,0.200303125,0.47750000000000004,0.322196875,0.5714285714285714,0.7142857142857143,17,10.0,2,8,4.75,2.1666666666666665,0.13194444444444445,0.13333333333333333,0.13347763347763347,0.13194444444444445,1.47,4.79,7.77,1.48,4.98,7.03
