homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Arsenal,Crystal Palace,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-12,nan,nan,nan,1.26,6.45,14.01,1.29,5.9,12.75
Leicester,Everton,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-12,nan,nan,nan,3.14,3.38,2.46,3.11,3.4,2.47
Man United,Swansea,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-12,nan,nan,nan,1.37,5.1,10.6,1.45,4.81,8.25
QPR,Hull,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-11,nan,nan,nan,2.48,3.26,3.22,2.31,3.24,3.59
Stoke,Aston Villa,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-6,nan,nan,nan,1.95,3.47,4.55,2.01,3.34,4.51
West Brom,Sunderland,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-8,nan,nan,nan,2.21,3.34,3.73,2.09,3.42,4.03
West Ham,Tottenham,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-7,nan,nan,nan,3.96,3.55,2.06,3.92,3.67,2.03
Liverpool,Southampton,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-5,nan,nan,nan,1.35,5.48,10.3,1.43,4.83,8.75
Newcastle,Man City,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-5,nan,nan,nan,5.8,4.28,1.63,5.55,4.38,1.63
Burnley,Chelsea,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-1,nan,nan,nan,9.77,4.81,1.41,9.25,5.01,1.4
Aston Villa,Newcastle,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-14,nan,nan,nan,2.56,3.36,3.01,2.67,3.33,2.89
Chelsea,Leicester,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,-5,nan,nan,nan,1.21,7.28,17.7,1.2,7.56,18.26
Crystal Palace,West Ham,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,2,nan,nan,nan,2.44,3.25,3.3,2.62,3.42,2.94
Everton,Arsenal,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,10,nan,nan,nan,2.72,3.45,2.76,2.66,3.48,2.82
Southampton,West Brom,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,8,nan,nan,nan,1.86,3.76,4.62,1.68,4.07,5.63
