homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Arsenal,Aston Villa,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-10,nan,nan,nan,1.41,5.2,8.3,1.44,5.0,8.05
Liverpool,Stoke,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-14,nan,nan,nan,1.41,4.88,9.35,1.42,4.62,10.19
Norwich,Everton,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-8,nan,nan,nan,3.32,3.41,2.35,3.81,3.27,2.21
Sunderland,Fulham,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-7,nan,nan,nan,2.25,3.37,3.58,2.52,3.23,3.16
Swansea,Man United,1,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-12,nan,nan,nan,4.1,3.52,2.03,3.62,3.41,2.22
West Brom,Southampton,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-7,nan,nan,nan,2.42,3.38,3.21,2.56,3.3,3.06
West Ham,Cardiff,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-7,nan,nan,nan,1.99,3.57,4.21,2.17,3.36,3.84
Chelsea,Hull,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-3,nan,nan,nan,1.2,7.4,19.5,1.23,6.8,16.25
Crystal Palace,Tottenham,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-6,nan,nan,nan,5.16,3.69,1.8,6.73,3.88,1.63
Man City,Newcastle,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-2,nan,nan,nan,1.31,5.86,11.66,1.26,6.41,14.02
Chelsea,Aston Villa,2,1,8,0.7853,0.2147,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,-2,2.1500000000000004,-0.2424242424242424,-0.0625,1.3,5.89,11.9,1.28,6.48,12.18
Aston Villa,Liverpool,0,1,8,nan,nan,nan,0.15499999999999997,0.30000000000000004,0.5449999999999999,0.5,0.0,0.5,0.0,3,3,nan,nan,nan,4.18,3.83,1.93,4.28,4.04,1.85
Everton,West Brom,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,-4,nan,nan,nan,1.55,4.33,7.01,1.58,4.13,6.88
Fulham,Arsenal,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,-7,nan,nan,nan,3.7,3.58,2.13,4.78,3.6,1.88
Hull,Norwich,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,5,nan,nan,nan,2.44,3.4,3.15,2.37,3.3,3.36
Newcastle,West Ham,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,14,nan,nan,nan,2.31,3.4,3.41,2.22,3.48,3.57
Southampton,Sunderland,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,-7,nan,nan,nan,1.68,4.01,5.57,1.65,4.01,6.15
Stoke,Crystal Palace,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,1,nan,nan,nan,1.81,3.65,5.16,2.0,3.48,4.28
Cardiff,Man City,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,14,nan,nan,nan,7.99,4.75,1.46,8.67,4.91,1.43
Tottenham,Swansea,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,-7,nan,nan,nan,1.62,4.04,6.45,1.78,3.67,5.4
Man United,Chelsea,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,11,nan,nan,nan,2.48,3.51,3.02,2.34,3.37,3.4
Cardiff,Everton,0,0,8,0.2331,0.0699,0.1203,0.31125,0.44999999999999996,0.23875000000000002,0.5,0.0,0.5,0.6666666666666667,-5,-1,-1.6666666666666665,0.22807017543859648,-0.125,3.33,3.35,2.37,3.65,3.37,2.23
Crystal Palace,Sunderland,3,1,8,0.0,0.3679,0.6321,-0.06375,0.85,0.21375000000000002,0.5,0.0,0.5,-0.3333333333333333,9,4,-0.9999999999999998,-0.125,0.0,2.54,3.31,3.09,2.48,3.24,3.26
Man City,Hull,2,0,8,0.7282,0.0009,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,-11,-4,-1.6818181818181819,0.2,-0.09090909090909091,1.19,8.04,18.58,1.18,7.84,21.01
Newcastle,Fulham,1,0,8,0.0,1.0,0.0,0.13374999999999998,0.65,0.21625,0.5,0.0,0.5,-0.6666666666666667,8,6,-5.0,-0.2,0.0,2.15,3.49,3.73,2.12,3.39,3.94
Norwich,Southampton,1,0,8,0.0,0.1353,0.8644,0.03125,0.55,0.41874999999999996,0.5,0.0,0.5,-0.6666666666666667,6,10,0.5,0.10714285714285715,0.10526315789473684,3.06,3.35,2.53,2.97,3.28,2.58
West Ham,Stoke,0,1,8,0.8261,0.1738,0.0,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,-12,-11,2.0,0.1111111111111111,-0.038461538461538464,2.05,3.51,4.03,1.98,3.44,4.42
Arsenal,Tottenham,1,0,9,0.0,0.0295,0.9602,0.28,0.19999999999999996,0.52,0.5,0.0,0.5,-1.0,8,7,-4.5,0.003676470588235295,0.3333333333333333,2.15,3.7,3.52,2.18,3.35,3.79
Liverpool,Man United,1,0,9,0.5815,0.4185,0.0,0.51125,0.15000000000000002,0.33875,0.5,0.0,0.5,0.0,-1,-9,0.22077922077922096,-0.2282051282051282,-0.058823529411764705,2.59,3.36,2.98,2.38,3.09,3.62
West Brom,Swansea,0,2,9,0.0,1.0,0.0,0.21375000000000002,0.85,-0.06375,0.5,0.0,0.5,0.0,3,-1,9.6,0.0,0.09022556390977443,2.67,3.47,2.8,2.72,3.37,2.81
Aston Villa,Newcastle,1,2,9,0.0,1.0,0.0,0.05345312499999999,0.5875,0.359046875,0.5,0.0,0.5,0.0,0,6,0.666666666666667,0.0,0.0,2.13,3.49,3.79,2.14,3.49,3.76
Everton,Chelsea,1,0,9,0.0,1.0,0.0,0.22223437500000004,0.36749999999999994,0.410265625,0.5,0.0,0.5,0.0,-2,14,0.75,0.0,0.0,3.27,3.38,2.39,3.42,3.49,2.26
Fulham,West Brom,1,1,9,0.0,1.0,0.0,0.121103125,0.8075,0.071396875,0.5,0.0,0.5,-0.3333333333333333,7,-3,-1.2142857142857144,0.0625,0.16666666666666666,2.14,3.54,3.69,2.24,3.55,3.43
Hull,Cardiff,1,1,9,0.8376,0.1623,0.0,0.1342,0.5599999999999999,0.30580000000000007,0.5,0.0,0.5,1.0,-9,5,-6.0,0.16666666666666666,-0.1111111111111111,2.46,3.25,3.27,2.21,3.2,3.92
Man United,Crystal Palace,2,0,9,0.0,1.0,0.0,0.18442187499999999,0.5875,0.228078125,0.5,0.0,0.5,0.3333333333333333,-2,-2,1.5333333333333332,-0.07142857142857142,-0.14285714285714285,1.23,6.9,15.55,1.18,8.08,19.82
Stoke,Man City,0,0,9,0.4787,0.066,0.068,0.39283750000000006,0.2849999999999999,0.3221625,0.5,0.0,0.5,1.0,-6,2,-0.40000000000000036,0.01785714285714285,-0.26190476190476186,6.09,4.02,1.65,5.84,3.91,1.68
Sunderland,Arsenal,1,3,9,0.0,0.0273,0.961,0.001959375000000013,0.5325,0.46554062500000004,0.5,0.0,0.5,-1.0,16,13,4.095238095238095,-0.16666666666666666,0.1375,5.79,3.9,1.69,6.01,3.93,1.67
Tottenham,Norwich,2,0,9,0.5971,0.4029,0.0,0.275,0.44999999999999996,0.275,0.5,0.0,0.5,1.0,-4,-2,0.5499999999999998,0.05263157894736842,-0.16666666666666666,1.46,4.71,8.27,1.48,4.38,8.61
Southampton,West Ham,0,0,9,0.0,1.0,0.0,0.1925,0.615,0.1925,0.5,0.0,0.5,0.0,2,3,-3.1666666666666665,0.058823529411764705,0.125,1.8,3.74,5.08,1.68,3.81,5.9
Swansea,Liverpool,2,2,9,0.0,0.0076,0.9321,0.18081249999999996,0.28500000000000003,0.5341875,0.5,0.0,0.5,-1.0,16,14,-2.1666666666666665,-0.1411764705882353,0.26666666666666666,3.48,3.47,2.25,3.17,3.3,2.49
Chelsea,Fulham,2,0,9,0.4977,0.386,0.1163,0.2484375,0.625,0.1265625,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.6,-3,-11,1.4500000000000002,0.012121212121212116,0.050595238095238096,1.28,6.0,13.6,1.29,5.8,13.5
Liverpool,Southampton,0,1,9,0.3653,0.6347,0.0,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.6,-5,-10,-2.3181818181818183,-0.00219780219780219,-0.03333333333333333,1.61,4.13,6.38,1.76,3.74,5.44
Newcastle,Hull,2,3,9,0.5971,0.4029,0.0,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.52,0.6,-0.12000000000000005,0.8,-12,-9,-2.166666666666667,0.020833333333333332,-0.12878787878787878,1.83,3.65,4.97,1.76,3.58,5.85
Norwich,Aston Villa,0,1,9,0.3325,0.1922,0.4395,0.22343749999999996,0.775,0.0015625000000000083,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.20000000000000007,0,-4,1.583333333333333,-0.07976190476190476,-0.04528508771929825,2.44,3.44,3.13,2.43,3.31,3.25
West Brom,Sunderland,3,0,9,0.0,0.1712,0.8287,0.19,0.8,0.009999999999999953,-0.04500000000000001,0.9,0.145,-0.2,4,-1,6.666666666666667,-0.1125,0.03711484593837536,2.07,3.5,3.97,2.12,3.5,3.72
West Ham,Everton,2,3,9,0.4134,0.3603,0.2262,0.16625,0.44999999999999996,0.38375000000000004,0.18624999999999997,0.55,0.26375,0.19999999999999996,0,2,-1.5,0.0029239766081871343,-0.09166666666666667,3.39,3.34,2.35,3.45,3.29,2.35
