homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Burnley,Swansea,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,14.0,1,14,nan,nan,nan,nan,nan,nan,2.47,3.32,3.19,2.79,3.16,2.89
Crystal Palace,West Brom,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,17.0,3,17,nan,nan,nan,nan,nan,nan,2.06,3.29,4.32,2.25,3.15,3.86
Everton,Tottenham,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,16.0,5,16,nan,nan,nan,nan,nan,nan,3.25,3.43,2.37,3.64,3.54,2.16
Hull,Leicester,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,15.0,7,15,nan,nan,nan,nan,nan,nan,4.43,3.55,1.95,4.68,3.5,1.92
Man City,Sunderland,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,18.0,8,18,nan,nan,nan,nan,nan,nan,1.27,6.48,13.15,1.25,6.5,14.5
Middlesbrough,Stoke,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,16.0,9,16,nan,nan,nan,nan,nan,nan,2.33,3.24,3.53,2.2,3.38,3.7
Southampton,Watford,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,17.0,11,17,nan,nan,nan,nan,nan,nan,1.88,3.68,4.64,1.8,3.83,4.91
Arsenal,Liverpool,3,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,20.0,13,20,nan,nan,nan,nan,nan,nan,2.41,3.53,3.1,2.8,3.44,2.68
Bournemouth,Man United,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,17.0,15,17,nan,nan,nan,nan,nan,nan,4.7,3.62,1.88,5.4,3.65,1.78
Chelsea,West Ham,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,17,20,nan,nan,nan,nan,nan,nan,1.68,4.16,5.48,1.52,4.38,7.45
Man United,Southampton,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,14.0,4,10,nan,nan,nan,nan,nan,nan,1.54,4.33,7.19,1.53,4.27,7.44
Burnley,Liverpool,2,0,8,0.0,0.0532,0.9435,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,8,4.0,14,7,3.3333333333333335,2.2857142857142856,0.0,0.25,0.058823529411764705,0.3333333333333333,7.12,4.2,1.56,7.26,4.54,1.51
Leicester,Arsenal,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,15.0,18,16,nan,nan,nan,nan,nan,nan,2.92,3.6,2.5,2.82,3.5,2.63
Stoke,Man City,1,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,13.0,14,4,nan,nan,nan,nan,nan,nan,5.47,3.96,1.71,6.29,4.34,1.58
Swansea,Hull,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,13.0,6,4,nan,nan,nan,nan,nan,nan,1.78,3.61,5.5,1.86,3.55,4.95
Tottenham,Crystal Palace,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,12.0,15,17,nan,nan,nan,nan,nan,nan,1.47,4.78,7.82,1.47,4.64,7.91
Watford,Chelsea,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,17.0,16,6,nan,nan,nan,nan,nan,nan,5.44,3.74,1.76,6.0,3.99,1.66
West Brom,Everton,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,14.0,8,10,nan,nan,nan,nan,nan,nan,3.11,3.19,2.6,3.08,3.17,2.63
Sunderland,Middlesbrough,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,15.0,19,11,nan,nan,nan,nan,nan,nan,2.61,3.22,3.06,2.79,3.1,2.94
West Ham,Bournemouth,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,17.0,20,18,nan,nan,nan,nan,nan,nan,1.98,3.75,4.02,2.48,3.31,3.17
Chelsea,Burnley,3,0,8,nan,nan,nan,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,0.0,4,14.0,3,8,2.6666666666666665,nan,0.125,nan,0.14285714285714285,nan,1.26,6.35,14.35,1.25,6.6,15.24
Crystal Palace,Bournemouth,1,1,8,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,12,17.0,18,19,3.5,1.6,0.0,0.0,0.07692307692307693,0.06666666666666667,2.33,3.38,3.39,2.23,3.36,3.64
Everton,Stoke,1,0,8,0.3613,0.3508,0.2878,0.47500000000000003,0.5,0.024999999999999967,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,9,12.0,5,18,2.0,12.0,0.08333333333333333,0.08333333333333333,0.07692307692307693,0.08333333333333333,1.74,3.79,5.55,1.68,4.2,5.39
