homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Freiburg,Hannover,2,2,12,0.3109,0.3067,0.3822,0.113125,0.65,0.23687499999999997,0.18624999999999997,0.55,0.26375,-0.0039215686274509665,6,10,-0.1180555555555558,-0.0455687639428241,-0.006238544235390567,2.55,3.5,2.92,2.48,3.57,2.97
Hertha,Hoffenheim,0,5,12,0.4757,0.2988,0.2253,0.26375,0.55,0.18624999999999997,0.34539062500000006,0.6625,-0.007890625000000012,0.3647058823529411,-3,3,-1.5267857142857135,0.07755448670696348,0.046267204587638,2.6,3.51,2.85,2.83,3.55,2.59
Wolfsburg,Bayern Munich,4,1,1,0.1196,0.3735,0.507,0.38117187499999994,0.11250000000000004,0.506328125,0.435859375,0.08750000000000002,0.476640625,0.15170278637770895,1,1,-0.5134083894500558,0.01962975088788345,0.036844135802469126,6.94,4.65,1.51,6.9,4.79,1.5
Freiburg,Ein Frankfurt,4,1,1,0.249,0.2441,0.5048,0.13374999999999998,0.575,0.29125000000000006,0.223984375,0.6125,0.16351562499999994,-0.05882352941176472,10,9,0.20921855921855936,-0.06427624458874458,-0.03933677637721755,2.69,3.66,2.67,2.94,3.95,2.34
Hamburg,FC Koln,0,2,1,0.2816,0.2973,0.4208,0.21195312500000002,0.6375,0.15054687500000002,0.3409375,0.42500000000000004,0.23406249999999995,-0.037151702786377694,12,5,0.1432539682539682,-0.0895987182751889,0.00020530862087880797,2.26,3.26,3.69,2.52,3.22,3.19
Leverkusen,Dortmund,0,0,1,0.6892,0.1763,0.1281,0.345703125,0.5625,0.09179687500000003,0.41664062500000004,0.6375,-0.054140625,0.6842105263157895,-11,-15,0.31181657848324607,0.025175750175750203,-0.014592752926086278,2.47,3.51,3.03,2.67,3.54,2.76
Mainz,Paderborn,5,0,1,0.5367,0.2894,0.1737,0.09437499999999997,0.7250000000000001,0.18062499999999992,0.17125,0.7,0.12875000000000003,0.23529411764705882,2,3,-0.14077380952380958,0.04477813852813853,-0.0017908882053618846,2.07,3.6,3.85,1.99,3.59,4.18
Schalke 04,Hannover,1,0,1,0.5958,0.215,0.1858,0.3409375,0.42500000000000004,0.23406249999999995,0.30820312499999997,0.4375,0.25429687500000003,0.47368421052631576,-1,-2,-0.4594356261022927,0.07746997011702891,-0.019557172659878275,2.08,3.71,3.67,2.05,3.69,3.84
Stuttgart,M'gladbach,0,1,1,0.0583,0.259,0.6826,0.31125,0.44999999999999996,0.23875000000000002,0.09507812500000001,0.7875,0.11742187500000001,-0.23529411764705882,9,11,1.1416666666666666,-0.0477501665001665,0.11531099530619993,3.0,3.51,2.49,2.91,3.44,2.59
Augsburg,Hoffenheim,3,1,2,0.4267,0.2379,0.3309,0.2696875,0.42499999999999993,0.30531250000000004,0.42000000000000004,0.44999999999999996,0.13000000000000003,0.5294117647058824,-4,-1,-1.706547619047619,0.056961185744080475,-0.0021986871058078533,2.42,3.47,3.14,2.51,3.44,3.02
Werder Bremen,Hertha,2,0,2,0.5406,0.1857,0.2456,0.275703125,0.5875,0.13679687499999998,0.433984375,0.4375,0.12851562500000002,0.411764705882353,-4,4,1.4831501831501832,-0.14426027189185084,-0.06811833999334002,2.39,3.53,3.14,2.24,3.43,3.44
Bayern Munich,Schalke 04,1,1,2,0.8827,0.0916,0.0215,0.34820312499999995,0.2875,0.3642968750000001,0.5253125000000001,0.22499999999999998,0.2496875,0.891640866873065,-10,-4,-0.44480904897571616,0.03610776220559497,-0.0663509493338822,1.15,9.8,20.89,1.15,9.85,21.06
Ein Frankfurt,Wolfsburg,1,1,2,0.1744,0.1393,0.5844,0.109375,0.42500000000000004,0.46562499999999996,0.2953125,0.375,0.3296875,0.08978328173374606,4,7,-1.0328258547008549,0.002663614621818966,0.06062677629531346,4.05,4.12,1.88,3.67,3.98,2.01
Hannover,Mainz,1,1,2,0.3926,0.273,0.3334,0.18945312500000003,0.5625,0.24804687499999997,0.26226562499999995,0.6625000000000001,0.07523437499999996,0.4613003095975232,-3,-2,-1.4053240740740742,-0.012176076238576236,-0.015133831310301896,2.33,3.57,3.2,2.3,3.49,3.34
M'gladbach,Freiburg,1,0,2,0.6309,0.2043,0.1611,0.349609375,0.38749999999999996,0.26289062500000004,0.416015625,0.4375,0.146484375,0.5789473684210527,-8,-11,0.1382716049382715,-0.01318477197577117,-0.01168825996782985,1.57,4.41,6.38,1.54,4.63,6.36
Dortmund,Augsburg,0,1,2,0.3797,0.3945,0.2257,0.1375,0.5,0.3625,0.3178125,0.475,0.20718750000000002,0.17337461300309603,3,13,-0.21660052910052974,0.025614329197920532,0.03036257043609987,1.46,4.66,8.27,1.4,5.05,9.37
