homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,Werder Bremen,6,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-17,nan,nan,nan,1.11,12.2,27.0,1.08,14.5,34.0
Augsburg,Wolfsburg,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-14,nan,nan,nan,2.85,3.43,2.64,2.99,3.39,2.56
Dortmund,Mainz,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-13,nan,nan,nan,1.37,5.41,9.49,1.29,6.55,10.8
Ein Frankfurt,Schalke 04,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-6,nan,nan,nan,3.39,3.64,2.22,3.3,3.53,2.31
FC Koln,Darmstadt,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-6,nan,nan,nan,1.78,3.72,5.31,1.54,4.33,7.12
Hamburg,Ingolstadt,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-7,nan,nan,nan,2.22,3.27,3.79,2.46,3.26,3.26
M'gladbach,Leverkusen,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-6,nan,nan,nan,2.31,3.62,3.23,2.54,3.55,2.9
Hertha,Freiburg,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-4,nan,nan,nan,2.16,3.38,3.84,2.02,3.54,4.14
Hoffenheim,RB Leipzig,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-5,nan,nan,nan,2.58,3.43,2.94,2.47,3.5,3.03
Schalke 04,Bayern Munich,0,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,12,nan,nan,nan,10.84,5.89,1.32,11.3,6.07,1.3
Darmstadt,Ein Frankfurt,1,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,11,nan,nan,nan,3.21,3.39,2.42,3.27,3.4,2.38
Freiburg,M'gladbach,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,10,nan,nan,nan,3.78,3.77,2.04,3.83,3.75,2.03
Ingolstadt,Hertha,0,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,6,nan,nan,nan,2.51,3.14,3.29,2.39,3.15,3.52
Leverkusen,Hamburg,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,6,nan,nan,nan,1.49,4.65,7.53,1.56,4.43,6.55
RB Leipzig,Dortmund,1,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,8,11,nan,nan,nan,5.49,4.36,1.65,5.56,4.42,1.63
Wolfsburg,FC Koln,0,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,5,nan,nan,nan,1.93,3.8,4.22,1.83,3.88,4.67
Mainz,Hoffenheim,4,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,5,4,nan,nan,nan,2.03,3.69,3.9,2.0,3.73,3.95
Werder Bremen,Augsburg,1,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,10,2,nan,nan,nan,2.37,3.57,3.14,2.44,3.52,3.06
FC Koln,Freiburg,3,0,9,0.9013,0.098,0.0,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,-11,-8,-1.375,-0.029761904761904767,-0.13333333333333333,1.82,3.77,4.88,1.74,3.96,5.24
Bayern Munich,Ingolstadt,3,1,9,0.9574,0.035,0.0,0.58,0.4,0.020000000000000018,0.5,0.0,0.5,0.6666666666666667,-5,-13,-0.6714285714285715,0.14529914529914528,-0.125,1.09,12.8,36.89,1.15,8.99,26.89
Dortmund,Darmstadt,6,0,9,0.8925,0.107,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,-11,-3,-1.875,0.11764705882352941,-0.011904761904761904,1.14,9.9,23.5,1.18,8.53,18.67
Ein Frankfurt,Leverkusen,2,1,9,0.6729,0.327,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,-12,-4,0.75,0.007575757575757583,-0.14285714285714285,4.01,3.66,2.01,3.77,3.77,2.04
Hamburg,RB Leipzig,0,4,9,0.2203,0.2227,0.5531,0.024999999999999967,0.5,0.47500000000000003,0.5,0.0,0.5,0.0,3,8,5.444444444444445,0.03804347826086957,-0.1048951048951049,2.79,3.31,2.79,2.77,3.41,2.74
Hoffenheim,Wolfsburg,0,0,9,0.0,0.0224,0.9616,0.23,0.4,0.37,0.5,0.0,0.5,-0.6666666666666667,7,6,0.20000000000000018,0.015151515151515166,0.08695652173913043,3.02,3.63,2.42,2.86,3.73,2.49
M'gladbach,Werder Bremen,4,1,9,0.7653,0.0012,0.0,0.28,0.8,-0.08000000000000004,0.5,0.0,0.5,1.0,-13,-9,-0.4444444444444444,0.14285714285714285,-0.1388888888888889,1.48,5.0,6.96,1.47,5.15,6.98
Augsburg,Mainz,1,3,9,0.0,0.1569,0.8429,0.34124999999999994,0.55,0.10874999999999999,0.5,0.0,0.5,0.0,-2,-7,3.5,-0.08333333333333333,0.04901960784313725,2.42,3.47,3.13,2.4,3.39,3.24
Hertha,Schalke 04,2,0,9,0.6396,0.3604,0.0,0.625,0.5,-0.125,0.5,0.0,0.5,1.0,-8,-10,-0.6666666666666665,0.13333333333333333,0.03409090909090909,2.66,3.31,2.92,2.88,3.41,2.63
Darmstadt,Hoffenheim,1,1,9,0.8744,0.1253,0.0,0.140765625,0.5875,0.271734375,0.5,0.0,0.5,0.6666666666666667,-1,1,4.0,-0.07500000000000001,-0.3333333333333333,3.62,3.7,2.11,3.76,3.91,2.01
Freiburg,Hamburg,1,0,9,0.8176,0.0465,0.024,0.2079,0.78,0.012099999999999972,0.5,0.0,0.5,1.0,-4,-2,-0.5714285714285716,0.009803921568627472,0.0,2.34,3.52,3.24,2.16,3.49,3.7
Ingolstadt,Ein Frankfurt,0,2,9,0.0,1.0,0.0,-0.02956250000000002,0.615,0.41456250000000006,0.5,0.0,0.5,0.0,6,10,-2.266666666666667,0.0,0.1607142857142857,2.24,3.36,3.63,2.0,3.49,4.28
Wolfsburg,Dortmund,1,5,9,0.0,1.0,0.0,0.297446875,0.36749999999999994,0.33505312500000006,0.5,0.0,0.5,0.3333333333333333,2,3,-3.5,0.0,-0.1,4.71,4.1,1.78,4.81,4.2,1.74
Bayern Munich,Hertha,3,0,9,0.0,0.4423,0.5577,0.495,0.010000000000000009,0.495,0.5,0.0,0.5,0.19999999999999996,-6,-3,0.7976190476190477,-0.024603174603174627,0.038461538461538464,1.16,8.63,25.3,1.15,9.04,25.19
Leverkusen,Augsburg,0,0,9,0.3943,0.2288,0.3697,0.16500000000000004,0.6699999999999999,0.16500000000000004,0.5,0.0,0.5,0.0,5,1,-0.6000000000000001,0.0888888888888889,0.06666666666666665,1.49,4.65,7.47,1.49,4.91,6.9
RB Leipzig,M'gladbach,1,1,9,0.8156,0.1844,0.0,0.45265,0.22999999999999998,0.31735,0.5,0.0,0.5,1.0,-3,-1,0.0,-0.1,-0.17647058823529413,2.54,3.6,2.87,2.24,3.53,3.46
Schalke 04,FC Koln,1,3,9,0.0,1.0,0.0,-0.12117187499999998,0.5875,0.533671875,0.5,0.0,0.5,-0.3333333333333333,6,11,2.7222222222222223,0.0,0.1111111111111111,2.13,3.58,3.68,2.28,3.42,3.46
Werder Bremen,Mainz,1,2,9,0.0612,0.1043,0.8098,-0.10549687499999999,0.6975,0.407996875,0.52,0.19999999999999996,0.28,-0.6,9,4,7.583333333333334,-0.078030303030303,0.010620915032679729,3.01,3.66,2.41,3.25,3.7,2.26
Dortmund,Freiburg,3,1,9,0.8294,0.0058,0.0009,0.41500000000000004,0.29999999999999993,0.28500000000000003,0.625,0.5,-0.125,1.2,-14,-6,-1.2142857142857144,0.13268716577540107,-0.19166666666666668,1.21,7.51,16.23,1.22,7.3,15.0
Augsburg,Darmstadt,1,0,9,0.6853,0.3147,0.0,0.2,0.6,0.2,0.0,1.0,0.0,0.0,0,-2,-0.04999999999999982,0.041666666666666664,0.0357142857142857,1.66,3.95,6.05,1.65,3.93,6.21
Ein Frankfurt,Hertha,3,3,9,0.5924,0.2908,0.1167,0.41500000000000004,0.29999999999999993,0.28500000000000003,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.6,-6,-1,1.3541666666666665,-0.03857906799083269,-0.022321428571428575,2.41,3.27,3.34,2.38,3.27,3.4
Hamburg,Bayern Munich,0,1,9,0.0,0.0164,0.9588,-0.08781250000000002,0.475,0.6128125,0.020000000000000018,0.4,0.58,-0.8,6,14,-1.5,-0.048611111111111105,0.20512820512820512,16.3,7.19,1.22,16.15,7.29,1.22
Mainz,Leverkusen,2,3,9,0.3508,0.0968,0.157,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.625,0.5,-0.125,0.3333333333333333,-2,-5,-0.16666666666666696,0.22023809523809523,0.0697478991596639,2.97,3.65,2.44,3.36,3.66,2.23
M'gladbach,Ingolstadt,2,0,9,0.8271,0.091,0.0506,0.3928125,0.6749999999999999,-0.06781249999999997,0.58,0.4,0.020000000000000018,1.0,-8,-8,-0.7507936507936508,0.12783882783882783,-0.11527777777777778,1.83,3.81,4.71,2.02,3.36,4.35
Werder Bremen,Wolfsburg,2,1,9,0.0,0.1931,0.8068,-0.07218749999999996,0.825,0.2471875,-0.11374999999999996,0.65,0.46374999999999994,-0.8,11,6,3.8174603174603177,0.005128205128205138,0.13247863247863248,4.1,3.9,1.93,3.96,3.87,1.96
FC Koln,RB Leipzig,1,1,9,0.766,0.2339,0.0,0.4565625,0.17500000000000004,0.3684375,0.505,0.09999999999999998,0.395,0.3999999999999999,-1,-3,0.5347222222222223,0.0041407867494824,-0.09090909090909091,2.36,3.43,3.28,2.38,3.4,3.28
Hoffenheim,Schalke 04,2,1,9,0.5817,0.4183,0.0,0.34375,0.75,-0.09375,0.34375,0.75,-0.09375,0.4,-2,-5,-0.10833333333333295,0.09090909090909091,-0.12697628458498025,2.75,3.73,2.57,2.95,3.88,2.36
RB Leipzig,Augsburg,2,1,9,0.1781,0.557,0.2649,0.34687500000000004,0.375,0.27812499999999996,0.35,0.30000000000000004,0.35,0.0,7,-1,-0.8999999999999999,0.05,0.11666666666666665,1.71,3.84,5.66,1.78,3.82,5.15
Bayern Munich,FC Koln,1,1,10,0.5511,0.3184,0.1304,0.506328125,0.11250000000000004,0.381171875,0.4999875,0.10499999999999998,0.39501250000000004,0.48571428571428577,-4,-3,0.28253968253968287,0.06990740740740739,-0.0021367521367521326,1.17,8.49,21.06,1.23,6.84,16.35
Darmstadt,Werder Bremen,2,2,10,0.9068,0.075,0.0133,0.133046875,0.7125,0.15445312499999997,0.46374999999999994,0.65,-0.11374999999999996,0.8,-8,-1,4.1,0.048611111111111105,-0.2111111111111111,3.15,3.53,2.39,3.04,3.53,2.45
Freiburg,Ein Frankfurt,1,0,10,0.3256,0.4645,0.2099,0.16625,0.44999999999999996,0.38375000000000004,0.52,0.19999999999999996,0.28,0.6,-1,7,0.355952380952381,0.0034399724802201687,0.037500000000000006,2.4,3.47,3.16,2.4,3.56,3.09
Hertha,Hamburg,2,0,10,0.8541,0.122,0.0226,0.39281249999999995,0.675,-0.0678125,0.625,0.5,-0.125,1.2,-7,-9,2.0,0.10833333333333332,-0.06381578947368421,2.0,3.4,4.41,2.1,3.43,3.95
