homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,Werder Bremen,6,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,18.0,1,18,nan,nan,nan,nan,nan,nan,1.11,12.2,27.0,1.08,14.5,34.0
Augsburg,Wolfsburg,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,16.0,2,16,nan,nan,nan,nan,nan,nan,2.85,3.43,2.64,2.99,3.39,2.56
Dortmund,Mainz,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,17.0,4,17,nan,nan,nan,nan,nan,nan,1.37,5.41,9.49,1.29,6.55,10.8
Ein Frankfurt,Schalke 04,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,11.0,5,11,nan,nan,nan,nan,nan,nan,3.39,3.64,2.22,3.3,3.53,2.31
FC Koln,Darmstadt,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,12.0,6,12,nan,nan,nan,nan,nan,nan,1.78,3.72,5.31,1.54,4.33,7.12
Hamburg,Ingolstadt,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,14.0,7,14,nan,nan,nan,nan,nan,nan,2.22,3.27,3.79,2.46,3.26,3.26
M'gladbach,Leverkusen,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,15.0,9,15,nan,nan,nan,nan,nan,nan,2.31,3.62,3.23,2.54,3.55,2.9
Hertha,Freiburg,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,14.0,10,14,nan,nan,nan,nan,nan,nan,2.16,3.38,3.84,2.02,3.54,4.14
Hoffenheim,RB Leipzig,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,16.0,11,16,nan,nan,nan,nan,nan,nan,2.58,3.43,2.94,2.47,3.5,3.03
Schalke 04,Bayern Munich,0,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,4.0,13,1,nan,nan,nan,nan,nan,nan,10.84,5.89,1.32,11.3,6.07,1.3
Darmstadt,Ein Frankfurt,1,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,7.0,14,3,nan,nan,nan,nan,nan,nan,3.21,3.39,2.42,3.27,3.4,2.38
Freiburg,M'gladbach,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,10.0,15,5,nan,nan,nan,nan,nan,nan,3.78,3.77,2.04,3.83,3.75,2.03
Ingolstadt,Hertha,0,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,11.0,12,6,nan,nan,nan,nan,nan,nan,2.51,3.14,3.29,2.39,3.15,3.52
Leverkusen,Hamburg,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,10.0,16,10,nan,nan,nan,nan,nan,nan,1.49,4.65,7.53,1.56,4.43,6.55
RB Leipzig,Dortmund,1,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,7.0,14,3,nan,nan,nan,nan,nan,nan,5.49,4.36,1.65,5.56,4.42,1.63
Wolfsburg,FC Koln,0,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,9.0,11,6,nan,nan,nan,nan,nan,nan,1.93,3.8,4.22,1.83,3.88,4.67
Mainz,Hoffenheim,4,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,12.0,17,13,nan,nan,nan,nan,nan,nan,2.03,3.69,3.9,2.0,3.73,3.95
Werder Bremen,Augsburg,1,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,8.0,18,16,nan,nan,nan,nan,nan,nan,2.37,3.57,3.14,2.44,3.52,3.06
FC Koln,Freiburg,3,0,9,0.9013,0.098,0.0,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,0.0,4,15.0,3,11,2.625,4.0,0.09523809523809523,0.125,0.0,0.13333333333333333,1.82,3.77,4.88,1.74,3.96,5.24
Bayern Munich,Ingolstadt,3,1,9,0.9574,0.035,0.0,0.58,0.4,0.020000000000000018,0.5,0.0,0.5,1.0,0.3333333333333333,2,7.0,2,15,1.9285714285714286,2.6,0.2222222222222222,0.07692307692307693,0.0,0.125,1.09,12.8,36.89,1.15,8.99,26.89
Dortmund,Darmstadt,6,0,9,0.8925,0.107,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,0.0,3,14.0,7,10,2.125,4.0,0.11764705882352941,0.0,0.08333333333333333,0.09523809523809523,1.14,9.9,23.5,1.18,8.53,18.67
Ein Frankfurt,Leverkusen,2,1,9,0.6729,0.327,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,0.0,4,16.0,8,12,2.75,2.0,0.09090909090909091,0.08333333333333333,0.0,0.14285714285714285,4.01,3.66,2.01,3.77,3.77,2.04
Hamburg,RB Leipzig,0,4,9,0.2203,0.2227,0.5531,0.024999999999999967,0.5,0.47500000000000003,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,11,8.0,14,6,8.0,2.5555555555555554,0.125,0.08695652173913043,0.07692307692307693,0.18181818181818182,2.79,3.31,2.79,2.77,3.41,2.74
Hoffenheim,Wolfsburg,0,0,9,0.0,0.0224,0.9616,0.23,0.4,0.37,0.5,0.0,0.5,0.3333333333333333,1.0,12,5.0,13,7,2.2,2.0,0.18181818181818182,0.16666666666666666,0.08695652173913043,0.0,3.02,3.63,2.42,2.86,3.73,2.49
M'gladbach,Werder Bremen,4,1,9,0.7653,0.0012,0.0,0.28,0.8,-0.08000000000000004,0.5,0.0,0.5,1.0,0.0,5,18.0,9,18,1.5555555555555556,2.0,0.14285714285714285,0.0,0.08333333333333333,0.2222222222222222,1.48,5.0,6.96,1.47,5.15,6.98
Augsburg,Mainz,1,3,9,0.0,0.1569,0.8429,0.34124999999999994,0.55,0.10874999999999999,0.5,0.0,0.5,0.0,0.0,15,17.0,9,16,6.5,3.0,0.0,0.08333333333333333,0.16666666666666666,0.11764705882352941,2.42,3.47,3.13,2.4,3.39,3.24
Hertha,Schalke 04,2,0,9,0.6396,0.3604,0.0,0.625,0.5,-0.125,0.5,0.0,0.5,1.0,0.0,6,14.0,7,17,3.0,3.6666666666666665,0.13333333333333333,0.0,0.125,0.09090909090909091,2.66,3.31,2.92,2.88,3.41,2.63
Darmstadt,Hoffenheim,1,1,9,0.8744,0.1253,0.0,0.140765625,0.5875,0.271734375,0.5,0.0,0.5,1.0,0.3333333333333333,7,8.0,12,11,8.0,4.0,0.125,0.2,0.0,0.3333333333333333,3.62,3.7,2.11,3.76,3.91,2.01
Freiburg,Hamburg,1,0,9,0.8176,0.0465,0.024,0.2079,0.78,0.012099999999999972,0.5,0.0,0.5,1.0,0.0,8,12.0,13,15,2.4285714285714284,3.0,0.17647058823529413,0.16666666666666666,0.2,0.2,2.34,3.52,3.24,2.16,3.49,3.7
Ingolstadt,Ein Frankfurt,0,2,9,0.0,1.0,0.0,-0.02956250000000002,0.615,0.41456250000000006,0.5,0.0,0.5,0.0,0.0,17,11.0,16,6,2.4,4.666666666666667,0.0,0.0,0.2857142857142857,0.125,2.24,3.36,3.63,2.0,3.49,4.28
Wolfsburg,Dortmund,1,5,9,0.0,1.0,0.0,0.297446875,0.36749999999999994,0.33505312500000006,0.5,0.0,0.5,0.3333333333333333,0.0,13,11.0,9,6,4.5,8.0,0.0,0.0,0.0,0.1,4.71,4.1,1.78,4.81,4.2,1.74
Bayern Munich,Hertha,3,0,9,0.0,0.4423,0.5577,0.495,0.010000000000000009,0.495,0.5,0.0,0.5,1.2,1.0,1,7.0,1,4,1.9642857142857144,1.1666666666666667,0.26111111111111107,0.2857142857142857,0.038461538461538464,0.0,1.16,8.63,25.3,1.15,9.04,25.19
Leverkusen,Augsburg,0,0,9,0.3943,0.2288,0.3697,0.16500000000000004,0.6699999999999999,0.16500000000000004,0.5,0.0,0.5,1.0,1.0,9,4.0,14,13,3.0,3.6,0.2,0.1111111111111111,0.16666666666666666,0.1,1.49,4.65,7.47,1.49,4.91,6.9
RB Leipzig,M'gladbach,1,1,9,0.8156,0.1844,0.0,0.45265,0.22999999999999998,0.31735,0.5,0.0,0.5,1.0,0.0,10,13.0,6,7,2.5,2.5,0.1,0.2,0.0,0.17647058823529413,2.54,3.6,2.87,2.24,3.53,3.46
Schalke 04,FC Koln,1,3,9,0.0,1.0,0.0,-0.12117187499999998,0.5875,0.533671875,0.5,0.0,0.5,0.0,0.3333333333333333,16,10.0,17,6,4.5,1.7777777777777777,0.0,0.0,0.1111111111111111,0.0,2.13,3.58,3.68,2.28,3.42,3.46
Werder Bremen,Mainz,1,2,9,0.0612,0.1043,0.8098,-0.10549687499999999,0.6975,0.407996875,0.52,0.19999999999999996,0.28,0.0,0.6,18,9.0,18,14,10.0,2.4166666666666665,0.1,0.178030303030303,0.1111111111111111,0.10049019607843138,3.01,3.66,2.41,3.25,3.7,2.26
Dortmund,Freiburg,3,1,9,0.8294,0.0058,0.0009,0.41500000000000004,0.29999999999999993,0.28500000000000003,0.625,0.5,-0.125,1.2,0.0,2,16.0,3,9,1.8482142857142856,3.0625,0.19518716577540107,0.0625,0.041666666666666664,0.23333333333333334,1.21,7.51,16.23,1.22,7.3,15.0
Augsburg,Darmstadt,1,0,9,0.6853,0.3147,0.0,0.2,0.6,0.2,0.0,1.0,0.0,0.0,0.0,15,15.0,11,13,4.45,4.5,0.041666666666666664,0.0,0.21969696969696967,0.18398268398268397,1.66,3.95,6.05,1.65,3.93,6.21
Ein Frankfurt,Hertha,3,3,9,0.5924,0.2908,0.1167,0.41500000000000004,0.29999999999999993,0.28500000000000003,0.5449999999999999,0.30000000000000004,0.15499999999999997,1.2,0.6,3,9.0,4,5,2.4375,1.0833333333333335,0.10427807486631016,0.14285714285714285,0.07142857142857142,0.09375,2.41,3.27,3.34,2.38,3.27,3.4
Hamburg,Bayern Munich,0,1,9,0.0,0.0164,0.9588,-0.08781250000000002,0.475,0.6128125,0.020000000000000018,0.4,0.58,0.2,1.0,13,7.0,15,1,7.5,9.0,0.0625,0.1111111111111111,0.20512820512820512,0.0,16.3,7.19,1.22,16.15,7.29,1.22
