homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,M'gladbach,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-12,nan,nan,nan,1.14,10.08,21.46,1.15,9.02,22.5
Augsburg,Dortmund,0,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-15,nan,nan,nan,8.25,4.69,1.46,6.48,4.25,1.58
Braunschweig,Werder Bremen,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-12,nan,nan,nan,2.89,3.57,2.54,3.03,3.42,2.5
Hannover,Wolfsburg,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-11,nan,nan,nan,2.84,3.5,2.61,3.34,3.46,2.31
Hertha,Ein Frankfurt,6,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-5,nan,nan,nan,2.38,3.52,3.16,2.59,3.3,3.02
Hoffenheim,Nurnberg,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,2.11,3.51,3.83,2.12,3.36,3.93
Leverkusen,Freiburg,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-4,nan,nan,nan,1.46,4.81,7.89,1.51,4.51,7.41
Mainz,Stuttgart,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-6,nan,nan,nan,2.47,3.46,3.07,2.13,3.4,3.9
Schalke 04,Hamburg,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-3,nan,nan,nan,1.48,4.86,7.2,1.46,4.86,7.67
Ein Frankfurt,Bayern Munich,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,5,13,nan,nan,nan,12.8,6.3,1.28,13.68,6.81,1.25
Freiburg,Mainz,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,10,nan,nan,nan,2.37,3.42,3.28,2.39,3.35,3.28
Hamburg,Hoffenheim,1,5,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,2,nan,nan,nan,2.09,3.6,3.77,2.34,3.49,3.28
M'gladbach,Hannover,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,12,nan,nan,nan,1.85,3.77,4.7,1.8,3.89,4.83
Stuttgart,Leverkusen,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,11,nan,nan,nan,3.54,3.7,2.14,3.73,3.69,2.08
Werder Bremen,Augsburg,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,-5,nan,nan,nan,1.97,3.68,4.16,2.14,3.48,3.74
Wolfsburg,Schalke 04,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,8,nan,nan,nan,2.99,3.55,2.48,2.52,3.6,2.87
Dortmund,Braunschweig,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,-5,nan,nan,nan,1.15,9.42,21.1,1.14,9.34,22.31
Nurnberg,Hertha,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,5,nan,nan,nan,2.42,3.45,3.15,2.79,3.46,2.68
Dortmund,Werder Bremen,1,0,8,0.0,0.5134,0.4866,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,1,1.0,0.0,0.125,1.24,7.08,14.25,1.24,6.8,13.5
Bayern Munich,Nurnberg,2,0,8,0.6744,0.1451,0.1408,0.53125,0.25,0.21875,0.5,0.0,0.5,0.6666666666666667,-7,-9,0.48888888888888893,-0.051282051282051266,0.003952569169960479,1.11,12.17,28.71,1.1,13.55,30.1
Hannover,Schalke 04,2,1,8,0.9588,0.0164,0.0,0.23500000000000004,0.7,0.06500000000000002,0.5,0.0,0.5,1.0,-10,-4,-0.5,0.1,-0.2,2.76,3.71,2.58,2.85,3.61,2.54
Hertha,Hamburg,1,0,8,0.1914,0.0067,0.0039,0.41874999999999996,0.55,0.03125,0.5,0.0,0.5,0.6666666666666667,-4,-6,-0.8888888888888888,0.1875,-0.05789473684210525,1.91,3.77,4.31,1.88,3.99,4.18
Hoffenheim,Freiburg,3,3,8,0.6744,0.1451,0.1408,0.52,0.6,-0.12000000000000005,0.5,0.0,0.5,0.3333333333333333,-5,-9,0.20833333333333348,-0.03804347826086957,0.0,1.8,3.92,4.76,1.93,3.76,4.26
Leverkusen,M'gladbach,4,2,8,0.8528,0.0392,0.0167,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,-11,-4,0.25,0.07575757575757575,0.009615384615384609,1.68,4.03,5.68,1.72,4.01,5.29
Mainz,Wolfsburg,2,0,8,0.9496,0.0459,0.0,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,-12,-4,-2.4642857142857144,0.3333333333333333,0.033333333333333326,2.77,3.51,2.67,2.63,3.5,2.81
Augsburg,Stuttgart,2,1,8,0.0,0.0023,0.8386,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-4,-3,1.25,-0.13333333333333333,-0.025641025641025605,2.39,3.39,3.26,2.29,3.53,3.33
Braunschweig,Ein Frankfurt,0,2,8,0.0,0.4688,0.5312,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-1,-1,1.833333333333333,-0.1,-0.2916666666666667,2.99,3.38,2.57,3.15,3.66,2.33
Freiburg,Bayern Munich,1,1,8,0.0,0.2231,0.7768,0.03396250000000001,0.395,0.5710375,0.5,0.0,0.5,-1.0,15,14,0.8571428571428572,0.04444444444444444,0.16666666666666666,13.6,6.1,1.28,13.34,6.15,1.28
Hamburg,Braunschweig,4,0,8,0.057,0.0876,0.7984,0.08098750000000002,0.945,-0.02598749999999997,0.5,0.0,0.5,0.0,4,-1,-0.6666666666666665,0.0,0.19444444444444448,1.78,3.93,4.9,1.74,3.94,5.25
Hannover,Mainz,4,1,8,0.4139,0.3248,0.2612,0.31556249999999997,0.17500000000000004,0.5094375,0.5,0.0,0.5,0.19999999999999996,-2,3,0.916666666666667,-0.04523809523809523,-0.048611111111111105,2.62,3.51,2.83,2.86,3.4,2.66
M'gladbach,Werder Bremen,4,1,8,0.5406,0.4594,0.0,0.1342,0.5599999999999999,0.30580000000000007,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.4,3,5,-2.875,0.13480392156862747,-0.015625,1.78,3.89,4.97,1.72,4.08,5.12
Nurnberg,Augsburg,0,1,8,0.6455,0.3545,0.0,0.11099687500000002,0.6425,0.24650312500000002,0.5,0.0,0.5,0.3333333333333333,3,4,-2.8,0.18181818181818182,-0.033333333333333354,2.56,3.37,3.0,2.99,3.48,2.51
Schalke 04,Leverkusen,2,0,8,0.0,0.1033,0.8961,-0.043999999999999984,0.44999999999999996,0.5940000000000001,0.5,0.0,0.5,-0.6666666666666667,9,13,-1.958333333333333,0.08097165991902833,0.1875,3.39,3.68,2.21,3.59,3.86,2.07
Wolfsburg,Hertha,2,0,8,0.9581,0.0158,0.0,0.11271562500000004,0.4225,0.46478437499999997,0.5,0.0,0.5,0.6666666666666667,3,8,0.10000000000000009,0.033333333333333354,-0.18181818181818182,1.95,3.77,4.12,1.79,3.91,4.86
Ein Frankfurt,Dortmund,1,2,9,0.0,0.0334,0.9583,0.18081249999999996,0.28500000000000003,0.5341875,0.5,0.0,0.5,-1.0,9,9,1.5555555555555556,-0.3076923076923077,0.06666666666666667,6.62,4.58,1.54,7.37,5.24,1.44
Stuttgart,Hoffenheim,6,2,9,0.0,0.0143,0.956,-0.11054999999999998,0.6699999999999999,0.44055000000000005,0.5,0.0,0.5,-1.0,14,7,3.0952380952380953,-0.2777777777777778,-0.04807692307692307,2.44,3.6,3.02,2.57,3.58,2.84
