homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Bayern Munich,M'gladbach,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,1.14,10.08,21.46,1.15,9.02,22.5
Augsburg,Dortmund,0,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,17.0,2,17,nan,nan,nan,nan,nan,nan,8.25,4.69,1.46,6.48,4.25,1.58
Braunschweig,Werder Bremen,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,16.0,4,16,nan,nan,nan,nan,nan,nan,2.89,3.57,2.54,3.03,3.42,2.5
Hannover,Wolfsburg,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,17.0,6,17,nan,nan,nan,nan,nan,nan,2.84,3.5,2.61,3.34,3.46,2.31
Hertha,Ein Frankfurt,6,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,12.0,7,12,nan,nan,nan,nan,nan,nan,2.38,3.52,3.16,2.59,3.3,3.02
Hoffenheim,Nurnberg,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,8,18,nan,nan,nan,nan,nan,nan,2.11,3.51,3.83,2.12,3.36,3.93
Leverkusen,Freiburg,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,14.0,10,14,nan,nan,nan,nan,nan,nan,1.46,4.81,7.89,1.51,4.51,7.41
Mainz,Stuttgart,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,17.0,11,17,nan,nan,nan,nan,nan,nan,2.47,3.46,3.07,2.13,3.4,3.9
Schalke 04,Hamburg,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,15.0,12,15,nan,nan,nan,nan,nan,nan,1.48,4.86,7.2,1.46,4.86,7.67
Ein Frankfurt,Bayern Munich,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,5.0,14,1,nan,nan,nan,nan,nan,nan,12.8,6.3,1.28,13.68,6.81,1.25
Freiburg,Mainz,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,12.0,15,5,nan,nan,nan,nan,nan,nan,2.37,3.42,3.28,2.39,3.35,3.28
Hamburg,Hoffenheim,1,5,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,11.0,10,8,nan,nan,nan,nan,nan,nan,2.09,3.6,3.77,2.34,3.49,3.28
M'gladbach,Hannover,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,10.0,16,4,nan,nan,nan,nan,nan,nan,1.85,3.77,4.7,1.8,3.89,4.83
Stuttgart,Leverkusen,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,12.0,17,6,nan,nan,nan,nan,nan,nan,3.54,3.7,2.14,3.73,3.69,2.08
Werder Bremen,Augsburg,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,9.0,8,13,nan,nan,nan,nan,nan,nan,1.97,3.68,4.16,2.14,3.48,3.74
Wolfsburg,Schalke 04,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,13.0,18,10,nan,nan,nan,nan,nan,nan,2.99,3.55,2.48,2.52,3.6,2.87
Dortmund,Braunschweig,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,10.0,10,15,nan,nan,nan,nan,nan,nan,1.15,9.42,21.1,1.14,9.34,22.31
Nurnberg,Hertha,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,12.0,13,8,nan,nan,nan,nan,nan,nan,2.42,3.45,3.15,2.79,3.46,2.68
Dortmund,Werder Bremen,1,0,8,0.0,0.5134,0.4866,0.5,0.0,0.5,0.5,0.0,0.5,1.0,1.0,9,5.0,5,4,4.0,3.0,0.08333333333333333,0.08333333333333333,0.125,0.0,1.24,7.08,14.25,1.24,6.8,13.5
Bayern Munich,Nurnberg,2,0,8,0.6744,0.1451,0.1408,0.53125,0.25,0.21875,0.5,0.0,0.5,1.0,0.3333333333333333,2,9.0,2,11,2.888888888888889,2.4,0.11538461538461539,0.16666666666666666,0.09090909090909091,0.08695652173913043,1.11,12.17,28.71,1.1,13.55,30.1
Hannover,Schalke 04,2,1,8,0.9588,0.0164,0.0,0.23500000000000004,0.7,0.06500000000000002,0.5,0.0,0.5,1.0,0.0,3,13.0,8,12,2.5,3.0,0.1,0.0,0.0,0.2,2.76,3.71,2.58,2.85,3.61,2.54
