homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Reims,Paris SG,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-14,nan,nan,nan,10.88,4.97,1.37,10.55,5.17,1.37
Bastia,Marseille,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-16,nan,nan,nan,3.98,3.34,2.11,3.73,3.38,2.18
Evian Thonon Gaillard,Caen,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-8,nan,nan,nan,2.44,3.28,3.22,2.41,3.2,3.42
Guingamp,St Etienne,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-16,-13,nan,nan,nan,3.45,3.12,2.41,3.25,3.02,2.62
Lille,Metz,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-8,nan,nan,nan,1.53,4.13,7.65,1.51,4.12,8.6
Montpellier,Bordeaux,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-9,nan,nan,nan,2.53,3.08,3.29,2.82,3.06,2.95
Nantes,Lens,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-4,nan,nan,nan,2.04,3.28,4.36,1.85,3.51,5.15
Nice,Toulouse,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-6,nan,nan,nan,2.85,3.09,2.85,3.01,3.31,2.58
Lyon,Rennes,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-4,nan,nan,nan,1.85,3.52,4.95,2.1,3.26,4.2
Monaco,Lorient,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-2,nan,nan,nan,1.42,4.7,9.4,1.43,4.6,9.65
Caen,Lille,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,-6,nan,nan,nan,3.72,3.21,2.25,4.63,3.28,2.0
Lens,Guingamp,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,3,nan,nan,nan,2.89,3.1,2.8,3.2,3.2,2.53
Lorient,Nice,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-2,3,nan,nan,nan,1.78,3.55,5.48,1.82,3.67,5.05
Metz,Nantes,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,7,nan,nan,nan,2.4,3.14,3.46,2.43,3.11,3.48
