homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Montpellier,Paris SG,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,20.0,1,20,nan,nan,nan,nan,nan,nan,5.31,3.64,1.79,5.14,3.52,1.85
Bordeaux,Monaco,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,20.0,3,20,nan,nan,nan,nan,nan,nan,3.21,3.17,2.51,3.16,3.21,2.54
Evian Thonon Gaillard,Sochaux,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,13.0,5,13,nan,nan,nan,nan,nan,nan,2.2,3.24,3.81,2.27,3.15,3.81
Lille,Lorient,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,20.0,7,20,nan,nan,nan,nan,nan,nan,1.65,3.83,6.41,1.61,3.95,6.85
Lyon,Nice,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,16.0,8,16,nan,nan,nan,nan,nan,nan,1.76,3.76,5.18,1.74,3.72,5.72
Nantes,Bastia,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,14.0,9,14,nan,nan,nan,nan,nan,nan,2.28,3.29,3.54,1.81,3.35,5.88
Rennes,Reims,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,17.0,10,17,nan,nan,nan,nan,nan,nan,1.75,3.59,5.72,1.91,3.41,4.88
Valenciennes,Toulouse,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,11,19,nan,nan,nan,nan,nan,nan,2.62,3.2,3.02,2.8,3.11,2.93
Ajaccio,St Etienne,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,18.0,12,18,nan,nan,nan,nan,nan,nan,3.4,3.14,2.42,3.77,3.15,2.27
Guingamp,Marseille,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,16.0,14,16,nan,nan,nan,nan,nan,nan,3.89,3.25,2.18,3.44,3.15,2.44
Sochaux,Lyon,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,10.0,11,2,nan,nan,nan,nan,nan,nan,3.61,3.3,2.25,3.73,3.24,2.25
Bastia,Valenciennes,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,13.0,16,5,nan,nan,nan,nan,nan,nan,2.18,3.33,3.75,2.08,3.38,4.09
Marseille,Evian Thonon Gaillard,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,9.0,7,11,nan,nan,nan,nan,nan,nan,1.45,4.36,9.44,1.51,4.11,8.85
Nice,Rennes,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,12.0,17,5,nan,nan,nan,nan,nan,nan,2.38,3.16,3.47,2.39,3.32,3.32
Reims,Lille,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,10.0,18,3,nan,nan,nan,nan,nan,nan,3.81,3.14,2.25,3.63,3.19,2.31
St Etienne,Guingamp,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,15.0,10,18,nan,nan,nan,nan,nan,nan,1.5,4.13,8.58,1.59,3.91,7.42
Toulouse,Bordeaux,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,8.0,19,16,nan,nan,nan,nan,nan,nan,2.51,3.04,3.37,2.72,3.08,3.06
Lorient,Nantes,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,11.0,20,5,nan,nan,nan,nan,nan,nan,2.2,3.22,3.84,2.2,3.11,4.09
Monaco,Montpellier,4,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,8.0,12,13,nan,nan,nan,nan,nan,nan,1.56,3.95,7.75,1.54,3.95,8.44
Paris SG,Ajaccio,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,14.0,18,19,nan,nan,nan,nan,nan,nan,1.2,7.08,20.85,1.18,7.75,22.75
Monaco,Toulouse,0,0,8,0.6922,0.0007,0.0,0.56125,0.35,0.08875000000000002,0.5,0.0,0.5,1.0,0.0,12,19.0,4,19,1.8571428571428572,2.0,0.3076923076923077,0.0,0.2,0.15789473684210525,1.41,4.66,9.97,1.49,4.36,8.36
Bordeaux,Bastia,1,0,8,0.0,1.0,0.0,0.10874999999999999,0.55,0.34124999999999994,0.5,0.0,0.5,0.0,0.0,17,17.0,16,9,5.5,0.0,0.0,0.0,0.15384615384615385,0.2857142857142857,1.76,3.6,5.63,1.61,3.96,6.9
Evian Thonon Gaillard,Rennes,1,2,8,0.3883,0.2735,0.3373,0.06500000000000002,0.7,0.23500000000000004,0.5,0.0,0.5,0.3333333333333333,0.0,15,14.0,17,8,1.875,1.3333333333333333,0.06666666666666667,0.25,0.1111111111111111,0.13333333333333333,2.51,3.22,3.16,2.37,3.33,3.35
Guingamp,Lorient,2,0,8,0.4708,0.5292,0.0,-0.10499999999999998,0.7,0.405,0.5,0.0,0.5,0.0,0.0,19,20.0,20,13,2.6,2.0,0.07692307692307693,0.0,0.1875,0.16666666666666666,2.47,3.2,3.21,2.49,3.25,3.22
Lyon,Reims,0,1,8,0.9197,0.0062,0.0,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,0.0,4,19.0,2,13,2.0,3.0,0.3333333333333333,0.06666666666666667,0.0,0.15384615384615385,1.56,4.08,7.15,1.6,3.87,7.25
Montpellier,Sochaux,2,1,8,0.2013,0.3118,0.4868,0.09999999999999998,0.8,0.09999999999999998,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,15,9.0,17,20,6.0,1.5,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.06666666666666667,1.81,3.62,5.11,1.8,3.75,5.05
Valenciennes,Marseille,0,1,8,0.8516,0.1482,0.0,0.15499999999999997,0.30000000000000004,0.5449999999999999,0.5,0.0,0.5,1.0,1.0,8,3.0,11,4,2.7142857142857144,2.2857142857142856,0.15789473684210525,0.1875,0.0,0.07692307692307693,3.99,3.15,2.19,3.63,3.3,2.25
Ajaccio,Nice,0,0,8,0.0,1.0,0.0,0.10874999999999999,0.55,0.34124999999999994,0.5,0.0,0.5,0.0,0.0,19,19.0,19,14,7.0,2.2,0.0,0.0,0.125,0.3333333333333333,2.64,3.15,3.04,2.87,3.14,2.82
Lille,St Etienne,1,0,8,0.0,1.0,0.0,0.15499999999999997,0.30000000000000004,0.5449999999999999,0.5,0.0,0.5,1.0,1.0,4,5.0,10,6,2.0,4.0,0.16666666666666666,0.125,0.0,0.0,2.04,3.25,4.31,2.04,3.2,4.59
Nantes,Paris SG,1,2,8,0.7496,0.2504,0.0,0.18624999999999997,0.55,0.26375,0.5,0.0,0.5,1.0,0.3333333333333333,6,12.0,11,18,2.3333333333333335,3.0,0.2857142857142857,0.08333333333333333,0.0,0.16666666666666666,7.33,3.99,1.56,8.6,3.98,1.53
Bastia,Toulouse,2,1,8,0.8882,0.1113,0.0,0.15616562500000003,0.6425,0.201334375,0.56125,0.35,0.08875000000000002,1.0,0.2,10,12.0,15,18,4.5,1.0,0.2222222222222222,0.0,0.0,0.07894736842105263,2.58,3.25,3.03,2.89,3.14,2.8
Evian Thonon Gaillard,Lyon,2,1,8,0.0097,0.0239,0.7998,-0.018699999999999994,0.6699999999999999,0.34870000000000007,0.020000000000000018,0.4,0.58,0.2,1.0,16,3.0,19,4,2.6375,1.875,0.06274509803921569,0.2,0.14646464646464646,0.09090909090909091,3.46,3.3,2.31,3.06,3.25,2.6
Lorient,Valenciennes,1,0,8,0.9432,0.0536,0.0,0.18493750000000003,0.725,0.0900625,0.5,0.0,0.5,1.0,0.0,16,17.0,17,15,1.75,2.3333333333333335,0.14285714285714285,0.0,0.125,0.2222222222222222,1.95,3.4,4.59,1.8,3.49,5.61
Paris SG,Guingamp,2,0,8,0.5189,0.4811,0.0,0.386546875,0.4225,0.190953125,0.5,0.0,0.5,0.3333333333333333,0.0,19,18.0,10,17,2.466666666666667,2.5,0.02702702702702703,0.0,1.0,0.1111111111111111,1.18,7.51,20.7,1.18,7.75,22.0
Reims,Nantes,0,0,8,0.7032,0.1462,0.1251,0.4544375,0.505,0.0405625,0.5,0.0,0.5,1.0,0.0,16,16.0,8,15,3.3333333333333335,2.6666666666666665,0.2,0.125,0.06666666666666667,0.14285714285714285,2.23,3.24,3.73,2.51,3.26,3.17
Rennes,Lille,0,0,8,0.7032,0.1462,0.1251,0.33,0.33999999999999997,0.33,0.5,0.0,0.5,1.0,0.0,12,16.0,7,5,2.1666666666666665,5.0,0.15384615384615385,0.06666666666666667,0.06666666666666667,0.2,2.88,3.18,2.75,3.44,3.18,2.41
Sochaux,Ajaccio,0,0,8,0.0387,0.0783,0.8499,0.003265625000000022,0.7525,0.24423437500000003,0.5,0.0,0.5,0.0,0.3333333333333333,20,11.0,20,18,1.375,1.0,0.09090909090909091,1.0,0.2,0.02702702702702703,1.99,3.38,4.39,2.13,3.41,3.88
Marseille,Monaco,1,2,9,0.0,1.0,0.0,0.5016,0.12,0.3784,0.5,0.0,0.5,1.0,1.0,15,7.0,1,6,2.6666666666666665,2.1666666666666665,0.25,0.15384615384615385,0.0,0.0,2.6,3.24,3.02,3.28,3.18,2.49
Nice,Montpellier,2,2,9,0.6117,0.0282,0.0169,0.275,0.44999999999999996,0.275,0.5,0.0,0.5,1.0,0.0,16,15.0,15,11,3.0,1.6666666666666667,0.13333333333333333,0.2,0.25,0.3076923076923077,2.1,3.43,3.88,2.29,3.22,3.66
St Etienne,Bordeaux,2,1,9,0.5374,0.4626,0.0,0.269190625,0.4225,0.308309375,0.5,0.0,0.5,1.0,0.3333333333333333,17,10.0,9,13,9.0,2.0,0.1111111111111111,0.125,0.0,0.08333333333333333,2.07,3.25,4.25,2.39,3.07,3.65
Bordeaux,Paris SG,0,2,9,0.0661,0.1938,0.7395,0.15781249999999997,0.375,0.46718750000000003,0.2849999999999999,0.30000000000000004,0.41500000000000004,0.6,0.8,12,3.0,13,4,3.95,2.583333333333333,0.041666666666666664,0.11858974358974358,0.07692307692307693,0.12179487179487179,4.53,3.37,1.97,4.44,3.41,2.0
Ajaccio,Evian Thonon Gaillard,2,3,9,0.0,1.0,0.0,0.22499999999999998,0.55,0.22499999999999998,0.08875000000000002,0.35,0.56125,0.2,0.0,18,16.0,17,14,4.75,4.0,0.0,0.0,0.0625,0.25,2.8,3.24,2.79,2.54,3.24,3.15
Guingamp,Bastia,1,1,9,0.8245,0.1754,0.0,0.10875000000000001,0.5499999999999999,0.34125000000000005,0.405,0.7,-0.10499999999999998,0.6,0.0,16,19.0,18,10,2.966666666666667,1.0,0.13846153846153847,0.0,0.09375,0.1845238095238095,2.12,3.33,3.97,1.94,3.53,4.5
Montpellier,Reims,0,0,9,0.3491,0.2788,0.3713,0.26093750000000004,0.375,0.36406249999999996,0.41500000000000004,0.30000000000000004,0.2849999999999999,0.8,0.6,5,7.0,12,9,4.5,3.0,0.16666666666666666,0.11666666666666667,0.09722222222222221,0.07692307692307693,1.89,3.36,5.03,1.78,3.4,6.15
