homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Monaco,Toulouse,3,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,17.0,1,17,nan,nan,nan,nan,nan,nan,1.32,5.72,11.12,1.29,5.9,12.75
Lyon,Strasbourg,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,20.0,2,20,nan,nan,nan,nan,nan,nan,1.4,5.19,8.99,1.34,5.55,10.35
Metz,Guingamp,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,19.0,3,19,nan,nan,nan,nan,nan,nan,2.95,3.2,2.71,3.01,3.35,2.54
Montpellier,Caen,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,16.0,5,16,nan,nan,nan,nan,nan,nan,1.88,3.54,4.74,1.83,3.69,4.92
Paris SG,Amiens,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,14.0,6,14,nan,nan,nan,nan,nan,nan,1.13,10.7,26.0,1.09,13.0,36.5
St Etienne,Nice,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,12.0,7,12,nan,nan,nan,nan,nan,nan,2.28,3.17,3.69,2.46,3.23,3.29
Troyes,Rennes,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,13.0,8,13,nan,nan,nan,nan,nan,nan,2.8,3.16,2.9,3.08,3.16,2.6
Angers,Bordeaux,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,15.0,10,15,nan,nan,nan,nan,nan,nan,2.63,3.06,3.14,2.5,3.14,3.31
Lille,Nantes,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,17.0,12,17,nan,nan,nan,nan,nan,nan,2.09,3.29,4.2,2.15,3.27,4.01
Marseille,Dijon,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,19.0,13,19,nan,nan,nan,nan,nan,nan,1.4,5.19,8.88,1.31,5.8,11.5
Nice,Troyes,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,10.0,14,9,nan,nan,nan,nan,nan,nan,1.53,4.5,6.95,1.52,4.51,7.06
Rennes,Lyon,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,6.0,11,3,nan,nan,nan,nan,nan,nan,3.69,3.68,2.09,3.64,3.63,2.12
Amiens,Angers,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,11.0,15,10,nan,nan,nan,nan,nan,nan,3.04,3.12,2.66,3.31,3.14,2.51
Bordeaux,Metz,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,8.0,12,13,nan,nan,nan,nan,nan,nan,1.46,4.6,8.15,1.44,5.05,7.76
Caen,St Etienne,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,11.0,16,8,nan,nan,nan,nan,nan,nan,3.08,3.08,2.66,3.01,3.24,2.64
Nantes,Marseille,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,13.0,17,10,nan,nan,nan,nan,nan,nan,3.46,3.43,2.25,3.17,3.3,2.49
Toulouse,Montpellier,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,11.0,18,8,nan,nan,nan,nan,nan,nan,2.28,3.13,3.74,2.38,3.19,3.5
Dijon,Monaco,1,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,9.0,19,7,nan,nan,nan,nan,nan,nan,6.62,4.4,1.55,7.05,4.67,1.51
Guingamp,Paris SG,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,12.0,12,9,nan,nan,nan,nan,nan,nan,12.75,6.0,1.28,14.55,6.55,1.25
Strasbourg,Lille,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,13.0,20,10,nan,nan,nan,nan,nan,nan,3.65,3.44,2.17,3.7,3.59,2.12
Metz,Monaco,0,1,8,0.0001,0.0005,0.2225,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,13,1.0,15,1,1.5,2.6666666666666665,0.16666666666666666,0.25,0.23076923076923078,0.06666666666666667,10.3,5.93,1.33,9.21,5.73,1.36
Lyon,Bordeaux,3,3,8,0.882,0.0037,0.0,0.505,0.09999999999999998,0.395,0.5,0.0,0.5,1.0,0.3333333333333333,2,10.0,2,8,1.7142857142857142,1.75,0.3333333333333333,0.2857142857142857,0.0,0.2222222222222222,1.67,4.25,5.27,1.68,4.2,5.31
Montpellier,Strasbourg,1,1,8,0.9368,0.0608,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,0.0,3,20.0,9,13,5.0,7.0,0.1,0.0,0.0,0.3333333333333333,1.86,3.74,4.51,2.03,3.36,4.33
Nice,Guingamp,2,0,8,0.0101,0.0254,0.8168,-0.08000000000000004,0.8,0.28,0.5,0.0,0.5,0.0,1.0,14,8.0,16,13,3.3333333333333335,2.6,0.05,0.23076923076923078,0.2,0.16666666666666666,2.07,3.22,4.3,1.86,3.64,4.82
Rennes,Dijon,2,2,8,0.8772,0.1225,0.0,0.145,0.9,-0.04500000000000001,0.5,0.0,0.5,0.0,0.0,15,20.0,15,20,3.4,12.0,0.058823529411764705,0.0,0.11764705882352941,0.16666666666666666,1.61,4.04,6.41,1.78,3.83,5.11
