home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
Lorient,Nice,0,1,2,0.1659,0.228,0.6047,0.125546875,0.5375,0.336953125,0.328828125,0.5125,0.15867187500000002,2.95,3.46,2.55,0.11875000000000036,-0.027875698647757477,0.11910022847522851,-0.12,14,17
Marseille,Rennes,2,0,2,0.7157,0.2244,0.0598,0.18625,0.55,0.26375,0.4328125,0.375,0.1921875,1.77,3.66,5.52,0.8319444444444453,0.04367462065797978,-0.09680287892362197,0.76,-10,-2
Metz,Nantes,1,1,2,0.27699999999999997,0.2336,0.4853,0.2809375,0.475,0.2440625,0.455546875,0.2625,0.281953125,3.26,3.14,2.54,-0.931818181818183,0.08291619996165447,0.03667508961626606,0.17391304347826098,9,-3
Bordeaux,Guingamp,3,0,2,0.2614,0.2613,0.4761,0.3328125,0.525,0.1421875,0.261953125,0.7625,-0.024453124999999992,2.0,3.48,4.26,1.149084249084249,-0.05544540929156312,-0.019012259736241613,0.3333333333333333,2,-1
Lyon,Dijon,4,2,2,0.6582,0.1743,0.1548,0.1534375,0.575,0.27156250000000004,0.4121875,0.425,0.16281249999999994,1.33,6.14,9.59,0.07867063492063542,0.0023062815754463506,-0.025183184190537167,0.6799999999999999,-9,-12
Montpellier,St Etienne,2,1,2,0.4453,0.3014,0.2531,0.2265625,0.375,0.3984375,0.3328125,0.525,0.1421875,2.24,3.3,3.68,1.3170634920634914,0.04732720982720984,0.015860990860990853,0.36,4,7
Paris SG,Toulouse,0,0,2,0.7437,0.2203,0.0359,0.4793750000000001,0.225,0.295625,0.4853125,0.5249999999999999,-0.010312499999999948,1.2,7.55,17.64,-0.05724206349206318,0.0870380082040699,-0.031864042390358185,0.8,-11,-7
Caen,Nancy,1,0,2,0.4984,0.2811,0.2201,0.11031250000000004,0.825,0.06468750000000001,0.211953125,0.6375,0.15054687500000002,2.25,3.22,3.76,0.6119988807488808,0.040259216545981275,0.02426853117642594,0.39259259259259266,2,1
Nantes,Dijon,3,1,2,0.1791,0.2425,0.5773,0.255859375,0.5875,0.15664062499999998,0.31539062500000004,0.5874999999999999,0.09710937500000004,1.77,3.8,5.26,1.4238095238095232,-0.09054866074096843,-0.009038001967866222,0.29629629629629634,3,-3
Nice,Montpellier,2,1,2,0.8339,0.0936,0.0487,0.3642968750000001,0.2875,0.34820312499999995,0.5099999999999999,0.4,0.09000000000000005,2.04,3.37,4.28,-0.2775946275946275,0.074887513587204,-0.16461794238943564,0.962962962962963,-16,-10
Angers,Bastia,3,0,2,0.4884,0.2909,0.2205,0.432890625,0.4875,0.07960937499999997,0.4290625,0.575,-0.00406249999999994,1.88,3.39,5.21,0.16712454212454197,0.008224528722712815,-0.005846666248987706,0.4607407407407407,-2,-5
Guingamp,Monaco,1,2,2,0.2016,0.26,0.5377,0.05968749999999998,0.475,0.4653125,0.31749999999999995,0.30000000000000004,0.3825,4.57,3.74,1.88,0.8623321123321119,-0.09916627176242561,-0.03256677962560317,0.03407407407407392,8,8
Lille,Bordeaux,2,3,2,0.1896,0.2271,0.5811,0.16820312500000004,0.4624999999999999,0.3692968750000001,0.08304687500000005,0.5125,0.404453125,2.54,3.13,3.25,0.6135073260073254,-0.05221793027520581,0.0373054170565483,-0.0503703703703704,13,10
Nancy,Toulouse,0,0,2,0.3477,0.4395,0.2127,-0.03593750000000001,0.625,0.4109375,0.25289062500000004,0.6375,0.10960937500000002,2.73,3.13,2.99,1.4726800976800982,0.026527775057186814,0.019081136287613987,0.3066666666666667,6,10
Rennes,Lorient,1,0,2,0.7163,0.1775,0.1031,0.1925,0.7,0.10750000000000004,0.208984375,0.6875,0.103515625,2.06,3.47,4.06,0.7583333333333337,0.05504176567524982,-0.10032343949348,0.7407407407407408,-12,-8
Lyon,Metz,5,0,2,0.7747,0.1479,0.0731,0.25,0.5,0.25,0.49625,0.55,-0.04625000000000007,1.23,7.55,13.18,-1.04878134685827,0.03024776495776317,0.04638453817969054,0.5925925925925926,-3,-10
Marseille,Paris SG,1,5,2,0.4061,0.3196,0.2743,0.28500000000000003,0.29999999999999993,0.415,0.4234375,0.125,0.4515625,5.39,4.25,1.67,1.3829670329670325,-0.036577517439032065,-0.08943485664133438,0.11111111111111116,1,3
St Etienne,Caen,0,1,2,0.6919,0.2431,0.0649,0.26375,0.55,0.18625,0.514609375,0.3625,0.12289062499999995,1.98,3.32,4.66,0.41410256410256396,0.07154899524809027,-0.10976742555689924,0.7777777777777776,-12,-9
Bastia,Nantes,2,2,3,0.3139,0.36700000000000005,0.3191,0.015625000000000028,0.575,0.409375,0.220625,0.45,0.32937500000000003,3.16,3.14,2.6,-1.2943764568764569,-0.010827771503676503,-0.019439574586633424,-0.007407407407407418,14,7
Bordeaux,Lyon,1,1,3,0.1839,0.2243,0.5895,0.3784375,0.275,0.3465625,0.3503125,0.575,0.07468749999999999,3.63,3.62,2.13,0.20155895691610048,-0.03531517152315469,-0.022375511976352333,0.11862068965517236,8,1
Bastia,St Etienne,0,0,3,0.2836,0.3453,0.371,0.1159375,0.725,0.15906250000000002,0.252890625,0.6375,0.10960937500000004,3.13,3.12,2.66,0.38656343656343584,0.010710823239103773,0.015682269411261024,0.10472541507024258,10,12
Caen,Angers,2,3,3,0.4821,0.2657,0.2513,0.253515625,0.3125,0.433984375,0.31093750000000003,0.575,0.1140625,2.47,3.15,3.37,0.8703601953601967,0.02274375950846541,-0.008773598196675142,0.48148148148148145,1,2
Dijon,Nice,0,1,3,0.2778,0.2818,0.4399,0.02499999999999997,0.5,0.475,0.275,0.45,0.275,3.74,3.39,2.19,0.030677655677656457,0.03655506132881697,0.00797979797979799,-0.11111111111111116,11,16
