home_team,away_team,home_goals,away_goals,month,p_home_win1,p_draw1,p_away_win1,p_home_win2,p_draw2,p_away_win2,p_home_win3,p_draw3,p_away_win3,oddHome,oddDraw,oddAway,d_accuracy,d_efficiency,d_vulnerability,d_points,d_global_rank,d_rank
Montpellier,Toulouse,1,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.15,3.17,4.16,,,,0.0,-15,-15
Evian Thonon Gaillard,Bordeaux,2,3,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.29,3.13,2.52,,,,0.0,-17,-16
Nancy,Brest,1,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.89,3.34,5.19,,,,0.0,-12,-10
Nice,Ajaccio,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.19,3.18,4.01,,,,0.0,-15,-13
Paris SG,Lorient,2,2,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.37,5.18,10.5,,,,0.0,-12,-9
Rennes,Lyon,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.06,3.31,4.23,,,,0.0,-12,-8
Sochaux,Bastia,2,3,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.05,3.04,2.76,,,,0.0,-10,-5
St Etienne,Lille,1,2,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.99,3.3,2.61,,,,0.0,-9,-3
Troyes,Valenciennes,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.5,3.16,3.29,,,,0.0,-10,-3
Reims,Marseille,0,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.6,3.35,2.25,,,,0.0,-10,-2
Lille,Nancy,1,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.51,4.21,8.42,,,,0.0,-1,1
Bastia,Reims,2,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.7,3.65,6.35,,,,0.0,-7,-16
Brest,Evian Thonon Gaillard,1,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.54,3.08,3.29,,,,0.0,1,7
Lorient,Montpellier,2,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,3.02,3.21,2.65,,,,0.0,3,2
Lyon,Troyes,4,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.45,4.51,9.05,,,,0.0,-3,-13
Toulouse,St Etienne,2,1,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.35,3.22,3.48,,,,0.0,-1,-5
Valenciennes,Nice,0,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.79,3.42,5.86,,,,0.0,4,-7
Ajaccio,Paris SG,0,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,5.94,3.84,1.69,,,,0.0,4,-5
Bordeaux,Rennes,1,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,2.29,3.32,3.52,,,,0.0,4,-6
Marseille,Sochaux,2,0,8,,,,0.5,0.0,0.5,0.5,0.0,0.5,1.43,4.59,9.94,,,,0.0,4,-6
Evian Thonon Gaillard,Lyon,1,1,8,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,3.92,3.47,2.09,-1.5,0.1111111111111111,0.25,-1.0,11,13
Nancy,Toulouse,0,1,8,0.5683,0.4317,0.0,0.34375,0.25,0.40625,0.5,0.0,0.5,2.27,3.09,3.81,-1.7999999999999998,0.007575757575757597,-0.1111111111111111,0.6666666666666667,-11,-3
Nice,Lille,2,2,8,0.0,0.1353,0.8644,0.1,0.5,0.4,0.5,0.0,0.5,3.51,3.24,2.31,1.5,-0.2,0.2222222222222222,-1.0,12,8
Reims,Sochaux,1,0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,2.11,3.4,3.89,1.0,0.0,-0.028132992327365706,0.0,4,3
Rennes,Bastia,3,2,8,0.0,0.0498,0.9464,-0.125,0.5,0.625,0.5,0.0,0.5,1.81,3.5,5.4,4.571428571428571,-0.3,-0.0888888888888889,-1.0,13,14
Troyes,Lorient,2,2,8,0.0,0.1353,0.8644,-0.12000000000000005,0.6,0.52,0.5,0.0,0.5,2.59,3.14,3.11,2.0,-0.16666666666666666,0.1,-0.3333333333333333,8,12
Valenciennes,Ajaccio,3,0,8,0.0,1.0,0.0,0.35,0.30000000000000004,0.35,0.5,0.0,0.5,1.85,3.47,5.12,-0.16666666666666674,-0.3333333333333333,0.0,-0.6666666666666667,11,-1
Montpellier,Marseille,0,1,8,0.0,0.3813,0.6187,0.020000000000000014,0.4,0.58,0.5,0.0,0.5,2.54,3.09,3.24,2.375,0.05228758169934639,0.08333333333333333,-0.6666666666666667,4,10
Paris SG,Bordeaux,0,0,8,0.0715,0.0606,0.3521,0.21875,0.25,0.53125,0.5,0.0,0.5,1.6,3.87,7.32,0.8888888888888891,-0.15,-0.05555555555555555,-0.6666666666666667,7,9
St Etienne,Brest,4,0,8,0.5276,0.4724,0.0,-0.10499999999999997,0.7,0.405,0.5,0.0,0.5,1.59,3.77,7.6,0.25,0.1111111111111111,0.10909090909090909,0.0,0,6
Ajaccio,Evian Thonon Gaillard,2,0,9,0.0,1.0,0.0,0.221271875,0.6975,0.081228125,0.5,0.0,0.5,2.41,3.18,3.38,2.3333333333333335,0.0,-0.06666666666666668,0.3333333333333333,5,-8
Bastia,St Etienne,0,3,9,0.7474,0.1328,0.0975,0.2888875,0.505,0.2061125,0.5,0.0,0.5,2.52,3.27,3.1,0.7999999999999998,0.13131313131313127,0.1111111111111111,1.0,-10,-6
Brest,Troyes,2,1,9,0.9464,0.0498,0.0,0.18493750000000006,0.725,0.0900625,0.5,0.0,0.5,2.43,3.03,3.53,0.75,-0.09999999999999998,-0.16666666666666666,1.0,-10,-4
Lorient,Nancy,3,0,9,0.4788,0.2591,0.2608,0.362828125,0.4775,0.15967187499999996,0.5,0.0,0.5,1.99,3.33,4.49,-1.0,-0.033333333333333354,0.08333333333333333,0.6666666666666667,-2,-1
Lyon,Valenciennes,3,2,9,0.0,0.3554,0.6446,0.382215625,0.2025,0.415284375,0.5,0.0,0.5,1.75,3.65,5.56,-2.6,-0.033333333333333354,0.16666666666666666,0.0,2,-2
Sochaux,Montpellier,1,3,9,0.33,0.1507,0.3556,-0.02598749999999997,0.945,0.08098750000000003,0.5,0.0,0.5,4.76,3.33,1.94,0.5,0.033333333333333354,0.13333333333333333,0.0,6,3
Toulouse,Reims,1,1,9,0.7474,0.1328,0.0975,0.4774,0.34,0.18260000000000004,0.5,0.0,0.5,1.6,3.77,7.45,-0.2142857142857142,-0.1111111111111111,-0.13131313131313127,1.0,-8,-12
Bordeaux,Nice,1,1,9,0.0,1.0,0.0,0.425665625,0.4225,0.15183437500000002,0.5,0.0,0.5,1.59,3.84,7.42,-0.25,0.1,0.0,0.6666666666666667,-1,-10
Lille,Paris SG,1,2,9,0.0,1.0,0.0,0.314875,0.45,0.23512500000000006,0.5,0.0,0.5,2.91,3.31,2.63,0.666666666666667,0.08333333333333333,0.2,0.0,5,-5
Marseille,Rennes,3,1,9,0.759,0.24100000000000002,0.0,0.5341875,0.28500000000000003,0.1808125,0.5,0.0,0.5,2.02,3.38,4.28,0.16666666666666696,0.08695652173913042,-0.1,1.0,-4,-15
Paris SG,Toulouse,2,0,9,0.1356,0.376,0.4883,0.34656250000000005,0.2749999999999999,0.3784375,0.22375,0.35,0.42625,1.5,4.25,8.61,-0.26388888888888884,-0.04166666666666667,0.027777777777777776,-0.4,9,4
Reims,Montpellier,3,1,9,0.2004,0.3619,0.4377,0.2565625,0.525,0.2184375,0.3,0.4,0.3,4.03,3.2,2.17,1.75,-0.19444444444444445,-0.09937611408199643,0.0,6,2
Evian Thonon Gaillard,Bastia,3,0,9,0.1118,0.0913,0.4844,0.04593750000000002,0.7749999999999999,0.17906250000000007,0.13374999999999998,0.65,0.21625,2.54,3.42,2.99,3.0357142857142856,-0.12222222222222223,-0.04038461538461541,-0.39999999999999997,7,7
Nice,Brest,4,2,9,0.8161,0.1839,0.0,0.2071875,0.475,0.31781250000000005,0.21375,0.85,-0.06375,1.96,3.25,4.91,1.7857142857142856,0.09090909090909093,-0.0010101010101010166,0.2,-3,5
St Etienne,Sochaux,0,1,9,0.9199,0.0788,0.0,0.46375,0.65,-0.11374999999999995,0.405,0.7,-0.10499999999999997,1.48,4.51,8.22,-3.875,0.2777777777777778,0.0009661835748792369,0.6,-3,-9
Troyes,Lille,1,1,9,0.1043,0.1412,0.7365,0.037500000000000006,0.75,0.2125,0.1,0.5,0.4,5.04,3.62,1.83,1.0,0.0,0.02496392496392502,-0.6000000000000001,15,6
Valenciennes,Bordeaux,0,0,9,0.638,0.36200000000000004,0.0,0.2340625,0.4249999999999999,0.3409375000000001,0.40625,0.25,0.34375,2.91,3.19,2.76,-0.5,0.0,-0.1111111111111111,0.0,4,2
Lyon,Ajaccio,2,0,9,0.8464,0.0823,0.0412,0.4421875000000001,0.2749999999999999,0.2828125,0.5449999999999999,0.30000000000000004,0.15499999999999994,1.48,4.55,8.05,-0.7999999999999998,0.04166666666666663,0.05833333333333332,0.6,-8,-7
Nancy,Marseille,0,1,9,0.0,0.6129,0.3871,0.020000000000000014,0.4,0.58,0.15499999999999994,0.30000000000000004,0.5449999999999999,3.85,3.38,2.15,0.23750000000000027,-0.022418757712875367,0.05,-0.6,12,15
Rennes,Lorient,1,2,9,0.2413,0.1665,0.5272,0.09375000000000004,0.45,0.45625,0.31125,0.45,0.23875,1.93,3.44,4.75,1.1785714285714288,-0.039377289377289335,-0.08333333333333334,0.19999999999999996,0,13
Montpellier,St Etienne,1,1,9,0.0552,0.1792,0.765,0.1265625,0.625,0.2484375,0.040000000000000015,0.6,0.36,1.99,3.52,4.28,4.066666666666666,-0.10528360528360531,-0.030982905982905984,-0.39999999999999997,8,4
Bastia,Paris SG,0,4,9,0.0556,0.1793,0.7645,0.061015625000000025,0.4875,0.451484375,0.16000000000000006,0.3999999999999999,0.4400000000000001,5.25,3.69,1.79,2.500000000000001,-0.031746031746031744,0.2264957264957265,-0.20000000000000007,11,9
Brest,Valenciennes,2,1,9,0.5677,0.2551,0.1765,0.183203125,0.5375,0.279296875,0.5449999999999999,0.30000000000000004,0.15499999999999994,3.0,3.11,2.75,-0.1250000000000009,-0.08974358974358977,-0.0625,0.6,-9,7
Lorient,Nice,1,1,9,0.4942,0.4043,0.1015,0.4421875000000001,0.2749999999999999,0.2828125,0.53125,0.25,0.21875,1.75,3.73,5.59,1.025,0.1431623931623932,0.05392156862745097,0.7999999999999999,-10,-8
Reims,Nancy,2,0,9,0.7465,0.1948,0.0583,0.38,0.6,0.01999999999999999,0.4583875000000001,0.515,0.02661249999999996,2.34,3.27,3.47,-0.3500000000000001,0.02794612794612794,-0.11989957926490433,0.657142857142857,-11,-6
Sochaux,Troyes,3,1,9,0.3653,0.1521,0.3253,0.1590625,0.725,0.1159375,0.0,1.0,0.0,2.36,3.31,3.39,1.5833333333333335,-0.00037878787878786735,0.1564102564102564,0.0,1,-1
Toulouse,Rennes,2,2,9,0.7445,0.1783,0.0759,0.31429687500000003,0.6375,0.04820312500000001,0.46375,0.65,-0.11374999999999995,2.1,3.33,4.09,-2.833333333333333,0.054093567251461985,-0.033492822966507185,0.8,-8,-11
Bordeaux,Ajaccio,2,2,9,0.6223,0.327,0.0507,0.33625000000000005,0.475,0.18875,0.4148,0.54,0.04519999999999999,1.53,3.98,8.65,-1.3833333333333329,-0.03169934640522876,-0.07222222222222219,0.3714285714285715,-2,-4
Lille,Lyon,1,1,9,0.08800000000000001,0.2692,0.6427,0.17242187500000006,0.3375,0.4900781249999999,0.03125,0.55,0.41875,2.12,3.44,3.86,-2.125,-0.008333333333333373,0.2150793650793651,-0.6000000000000001,13,12
Marseille,Evian Thonon Gaillard,1,0,9,0.9202,0.0785,0.0,0.5449999999999999,0.30000000000000004,0.15499999999999994,0.625,0.5,-0.125,1.43,4.55,9.66,-0.3928571428571428,0.12242562929061784,-0.012499999999999997,1.2,-13,-16
Rennes,Lille,2,0,9,0.1558,0.1693,0.6585,0.13374999999999998,0.65,0.21625,0.12839062500000006,0.5325,0.339109375,2.68,3.18,3.0,1.1857142857142855,-0.0577991452991453,0.04983164983164984,-0.28571428571428575,11,6
Ajaccio,Brest,1,0,9,0.8688,0.1309,0.0,0.175,0.5,0.325,0.52,0.6,-0.12000000000000005,1.79,3.42,5.95,2.166666666666666,0.0069444444444444475,-0.281015281015281,0.8,-7,3
Evian Thonon Gaillard,Lorient,1,1,9,0.3353,0.182,0.4269,0.11187500000000004,0.45,0.438125,0.29315,0.34,0.3668500000000001,2.48,3.29,3.2,2.0555555555555545,-0.00032560032560030594,-0.07083333333333335,-0.1428571428571429,8,14
Nancy,Montpellier,0,2,9,0.1562,0.3397,0.5041,-0.03500000000000003,0.8,0.235,0.0900625,0.725,0.18493750000000006,3.19,3.13,2.58,3.5296296296296283,-0.15390749601275916,-0.12121212121212119,0.0,4,2
Nice,Bastia,2,2,9,0.4539,0.138,0.2271,0.3961718750000001,0.6375,-0.03367187499999999,0.359046875,0.5875,0.05345312499999999,2.4,3.23,3.41,-0.3968253968253972,-0.010903910903910907,0.012820512820512775,0.14285714285714285,0,-5
Paris SG,Sochaux,2,0,9,0.5218,0.3935,0.0847,0.460859375,0.2875,0.251640625,0.386546875,0.4225,0.190953125,1.18,7.6,23.7,-4.064814814814815,0.052272727272727304,-0.010466988727858298,0.28571428571428575,-3,-13
Troyes,Toulouse,0,2,9,0.2698,0.3617,0.3684,0.05125,0.65,0.29875,0.184421875,0.5875,0.228078125,3.37,3.12,2.48,0.16666666666666652,0.10252525252525255,0.03886483886483885,-0.2857142857142857,9,11
Lyon,Bordeaux,0,2,9,0.4735,0.2717,0.2541,0.406484375,0.3374999999999999,0.2560156250000001,0.514490625,0.2025,0.283009375,2.06,3.54,3.96,-2.088888888888888,0.09999999999999994,0.048148148148148176,0.5714285714285715,-5,-5
St Etienne,Reims,0,0,9,0.5609,0.2353,0.2019,0.22375,0.35,0.42625,0.1701375,0.685,0.14486249999999995,1.57,4.12,7.02,-0.20833333333333326,-0.03148148148148147,-0.029093567251461977,0.22857142857142854,-1,6
Valenciennes,Marseille,4,1,9,0.0,1.0,0.0,0.10554687499999997,0.3375,0.5569531249999999,0.3155625,0.17500000000000004,0.5094375,3.35,3.23,2.44,0.7027777777777775,0.015862242332830567,0.0,-0.5714285714285715,11,12
St Etienne,Nancy,4,0,10,0.7553,0.2001,0.0444,0.359296875,0.7375,-0.09679687500000003,0.25401250000000003,0.745,0.0009874999999999745,1.57,4.01,7.53,-0.9979166666666663,0.07222222222222222,-0.13456196581196578,0.30158730158730157,-2,-6
Bastia,Troyes,3,2,10,0.1862,0.1776,0.617,0.075,0.85,0.07500000000000002,0.15894999999999998,0.89,-0.048950000000000014,1.61,3.98,6.82,2.1444444444444457,-0.07076719576719578,0.17052119993296463,0.42857142857142855,-2,-4
Lille,Ajaccio,2,0,10,0.4132,0.2923,0.2941,0.09437500000000006,0.575,0.330625,0.17013750000000002,0.6849999999999999,0.14486250000000006,1.48,4.4,8.65,-1.333333333333333,-0.0314814814814815,0.07522893772893777,-0.15873015873015872,9,6
Montpellier,Evian Thonon Gaillard,2,3,10,0.4549,0.5451,0.0,0.309921875,0.5125,0.17757812500000006,0.23388750000000005,0.835,-0.06888749999999999,1.73,3.7,5.73,2.0000000000000004,0.06267806267806267,-0.028327228327228338,0.2857142857142857,1,-4
Reims,Nice,3,1,10,0.3953,0.4516,0.1531,0.401171875,0.3125,0.286328125,0.480628125,0.3025,0.216871875,2.61,3.21,3.05,0.9499999999999997,0.09463684463684463,-0.01396628826969384,0.5714285714285714,-12,-8
Sochaux,Rennes,0,1,10,0.4564,0.1753,0.3023,0.21539062500000006,0.5125,0.27210937500000004,0.25685,0.6699999999999999,0.07315000000000002,3.35,3.16,2.47,-0.5925925925925917,0.026163596751832052,0.09869117237538286,0.2857142857142857,0,1
Toulouse,Valenciennes,2,2,10,0.4231,0.2176,0.3476,0.31125,0.45,0.23875,0.359046875,0.5875,0.05345312499999999,1.92,3.5,4.65,-1.833333333333334,0.012750831326682699,0.00993265993265996,0.28571428571428575,-1,-2
Brest,Bordeaux,1,1,10,0.2369,0.3917,0.3714,0.17031249999999998,0.4750000000000001,0.35468749999999993,0.5028,0.13,0.3672,3.76,3.39,2.18,0.13194444444444375,-0.04455128205128209,0.0057189542483660205,0.39682539682539697,0,7
Lorient,Lyon,1,1,10,0.3969,0.3618,0.2413,0.35250000000000004,0.3999999999999999,0.24750000000000005,0.397890625,0.3125,0.289609375,2.41,3.45,3.16,-0.49444444444444446,0.03671143671143673,0.047619047619047616,0.2857142857142857,0,2
Marseille,Paris SG,2,2,10,0.2182,0.4475,0.3343,0.3390625,0.17500000000000004,0.4859375,0.4967875000000001,0.06499999999999995,0.4382125,2.96,3.26,2.66,0.7658730158730149,-0.12010249052583147,0.018518518518518517,0.2857142857142858,1,-1
Bordeaux,Lille,1,1,10,0.4084,0.2697,0.3208,0.32937500000000003,0.45,0.220625,0.335809375,0.5225,0.141690625,2.54,3.17,3.21,-0.4142857142857137,-0.012443438914027147,-0.04781144781144782,0.15873015873015872,8,-6
Evian Thonon Gaillard,Toulouse,0,4,10,0.2784,0.3019,0.4194,0.290234375,0.4375,0.272265625,0.29531250000000003,0.375,0.3296875,2.98,3.25,2.67,0.3511904761904767,0.06928418803418801,0.03699494949494951,-0.2222222222222222,10,9
Nancy,Sochaux,1,1,10,0.1535,0.6759,0.1706,-0.07218749999999996,0.825,0.2471875,0.00999999999999998,0.8,0.19,2.0,3.22,4.76,-0.658333333333335,-0.008522727272727272,-0.021739130434782594,0.0,1,1
Nice,St Etienne,1,1,10,0.1683,0.1682,0.6414,0.18875000000000006,0.475,0.33625,0.30531250000000004,0.4249999999999999,0.2696875,2.89,3.35,2.66,0.4234126984126978,0.03300865800865804,0.13778490028490026,-0.015873015873015817,4,8
Paris SG,Reims,1,0,10,0.5291,0.3592,0.1117,0.426015625,0.1625000000000001,0.411484375,0.469465625,0.3825,0.14803437500000002,1.22,6.7,18.35,0.055555555555556246,-0.018434343434343442,-0.04995126705653022,0.6031746031746031,-12,-4
Rennes,Montpellier,2,1,10,0.2864,0.2148,0.4886,0.3474999999999999,0.4500000000000001,0.2025,0.30000000000000004,0.3999999999999999,0.30000000000000004,2.16,3.38,3.82,0.9240079365079366,-0.050951698155645486,0.0007575757575757902,0.0,6,-4
Valenciennes,Lorient,6,1,10,0.7087,0.2126,0.0783,0.220625,0.45,0.32937500000000003,0.4103125,0.2749999999999999,0.3146875000000001,2.35,3.31,3.41,0.25,-0.020941558441558455,-0.13712849650349648,0.2222222222222222,1,3
Ajaccio,Bastia,0,0,10,0.8075,0.1925,0.0,0.228515625,0.5625,0.208984375,0.49945,0.4099999999999999,0.09055000000000007,2.5,3.2,3.24,0.1234126984126993,-0.12361111111111114,-0.20705128205128207,0.5555555555555556,-2,-1
Lyon,Brest,1,0,10,0.8821,0.0626,0.0246,0.2565625,0.5249999999999999,0.21843750000000006,0.405,0.7,-0.10499999999999997,1.32,5.4,12.6,-1.525,0.09583333333333333,-0.03992812742812743,1.0,-13,-10
Troyes,Marseille,1,0,10,0.1345,0.281,0.5843,-0.04945312500000007,0.6625000000000001,0.386953125,0.07468749999999999,0.575,0.3503125,6.29,4.03,1.63,2.2770833333333336,0.04939668174962296,0.0669642857142857,-0.7777777777777778,17,18
St Etienne,Rennes,2,0,10,0.6761,0.2148,0.1083,0.26875,0.30000000000000004,0.43125,0.290234375,0.4375,0.272265625,1.88,3.5,4.94,-1.6216666666666661,0.0208937198067633,-0.05502923976608187,0.19191919191919193,-1,1
Lille,Valenciennes,2,1,10,0.3837,0.2482,0.3651,0.24750000000000005,0.3999999999999999,0.35250000000000004,0.34125000000000005,0.5499999999999999,0.10875000000000004,1.75,3.66,5.66,-1.166666666666667,-0.06748366013071899,0.03499373433583962,0.11111111111111116,4,6
Montpellier,Nice,3,1,10,0.2812,0.315,0.4037,0.11312500000000004,0.6499999999999999,0.2368750000000001,0.08124999999999999,0.75,0.16875,1.83,3.5,5.35,2.039583333333333,0.0011446886446886406,0.06404869640163757,-0.1111111111111111,4,1
Nancy,Paris SG,0,1,10,0.0327,0.1743,0.7927,-0.013359375000000008,0.4875,0.525859375,0.0625,0.5,0.4375,7.4,4.38,1.52,2.110833333333333,-0.20185786435786432,0.011507936507936509,-0.5252525252525251,15,18
Reims,Troyes,1,1,10,0.8542,0.0764,0.0368,0.3328125,0.525,0.1421875,0.57375,0.55,-0.12374999999999994,2.04,3.39,4.23,0.5691666666666668,0.10934884559884567,-0.1178968595007093,1.0909090909090908,-18,-12
Toulouse,Brest,3,1,10,0.8009,0.1334,0.0606,0.404453125,0.5125,0.08304687500000005,0.3746875000000001,0.725,-0.0996875,1.47,4.34,9.3,-0.9964285714285706,0.11725146198830413,-0.04449300699300701,0.6666666666666666,-6,-11
Bastia,Bordeaux,3,1,10,0.040999999999999995,0.1056,0.8459,0.23875,0.45,0.31125,0.231953125,0.4125,0.35554687500000004,2.77,3.36,2.77,0.7166666666666672,-0.05360045467462349,0.23648018648018648,-0.1515151515151516,11,6
Lorient,Ajaccio,4,4,10,0.7639,0.1711,0.0639,0.19632812500000005,0.5874999999999999,0.21617187500000004,0.3847656250000001,0.5625,0.05273437499999994,1.79,3.8,5.01,-1.0958333333333332,0.02721611721611722,-0.03588827838827838,0.5252525252525251,-2,-2
Brest,Lorient,2,0,11,0.6369,0.1872,0.1672,0.068828125,0.7125,0.218671875,0.4328125,0.375,0.1921875,3.28,3.24,2.46,1.1791666666666663,-0.027458374958374956,-0.167222850678733,0.5656565656565657,-1,8
Evian Thonon Gaillard,Lille,0,2,11,0.2345,0.2145,0.5444,0.200390625,0.4375,0.362109375,0.19632812500000005,0.5874999999999999,0.21617187500000004,3.88,3.29,2.18,0.695238095238095,0.00709401709401708,0.051585081585081544,-0.09090909090909094,11,7
Nice,Nancy,2,1,11,0.8739,0.0919,0.0277,0.150390625,0.8125,0.037109375,0.3625,0.7,-0.06249999999999997,1.94,3.58,4.41,0.2580357142857137,0.10123543123543126,-0.0028372352285395974,0.4343434343434343,-4,-4
Paris SG,St Etienne,1,2,11,0.4175,0.3648,0.2176,0.4565625,0.17500000000000004,0.3684375,0.460859375,0.2875,0.251640625,1.53,4.36,7.26,-0.08055555555555571,-0.00439799029472944,-0.06645299145299147,0.4444444444444444,-5,-5
Rennes,Reims,1,0,11,0.4628,0.3399,0.1973,0.337890625,0.4125,0.249609375,0.4090625,0.525,0.06593750000000001,1.62,3.86,6.94,0.3614285714285712,0.03920940170940168,0.04375031782354437,0.595959595959596,-8,5
Troyes,Montpellier,1,1,11,0.168,0.2278,0.6026,0.18625,0.55,0.26375,0.248046875,0.5625,0.18945312500000006,3.55,3.44,2.22,2.0977777777777784,-0.0223444976076555,-0.0436002886002886,-0.09090909090909094,11,3
Valenciennes,Sochaux,3,1,11,0.8247,0.1533,0.0215,0.26375,0.55,0.18625,0.4750000000000001,0.3999999999999999,0.12500000000000006,1.66,4.16,5.64,-2.900000000000001,0.16404761904761903,-0.07420948616600789,0.6363636363636362,-7,-8
Ajaccio,Marseille,0,2,11,0.385,0.615,0.0,0.251875,0.575,0.17312500000000006,0.405,0.4,0.195,3.58,3.36,2.25,0.13833333333333364,-0.006581139448786508,-0.09333333333333334,0.07070707070707061,9,11
Bordeaux,Toulouse,1,0,11,0.1195,0.2592,0.621,0.17398437500000002,0.3624999999999999,0.463515625,0.2575,0.35,0.3925,2.31,3.22,3.58,-0.4878571428571421,-0.06426847662141781,0.04002525252525253,-0.24242424242424254,13,8
Lyon,Bastia,5,2,11,0.6367,0.1733,0.1717,0.29124999999999995,0.3500000000000001,0.35875,0.416015625,0.4375,0.146484375,1.58,4.45,6.15,-0.2857142857142865,-0.01944444444444446,-0.012307692307692297,0.6363636363636364,-5,-7
Sochaux,Evian Thonon Gaillard,2,1,11,0.3871,0.2509,0.3594,0.103125,0.75,0.146875,0.13374999999999998,0.65,0.21625,2.31,3.16,3.63,0.22222222222222188,-0.07065508021390375,0.10419719169719166,0.0,5,1
Nancy,Rennes,1,3,11,0.1555,0.4306,0.4139,-0.04343749999999996,0.575,0.4684375,0.01960937500000004,0.7625,0.217890625,3.12,3.28,2.54,0.9158730158730153,-0.06401515151515152,-0.055742561532035204,-0.05594405594405599,8,11
Bastia,Valenciennes,2,3,11,0.2356,0.1721,0.5445,0.26289062500000004,0.3875,0.349609375,0.384765625,0.5625,0.052734375000000035,2.54,3.59,2.88,-0.03333333333333366,-0.03891007259293705,0.13263444158180998,0.45454545454545453,-4,5
Lille,Brest,1,0,11,0.7596,0.1715,0.0676,0.443828125,0.4125,0.14367187499999998,0.46375,0.65,-0.11374999999999995,1.35,5.11,11.87,-0.6316666666666664,0.06994152046783625,-0.0727479002479002,0.7272727272727273,-6,-4
Reims,Evian Thonon Gaillard,1,2,11,0.6763,0.2239,0.0993,0.185546875,0.7375,0.07695312499999997,0.4925000000000001,0.45,0.05750000000000002,2.21,3.41,3.64,-0.20277777777777795,0.06416731416731417,-0.1523785645612271,0.7272727272727273,-12,-8
St Etienne,Troyes,2,0,11,0.8542,0.0949,0.039,0.4566406250000001,0.3374999999999999,0.205859375,0.4575,0.55,-0.007500000000000007,1.37,5.25,9.88,-0.7063888888888887,0.020531923792793366,-0.0867015869893108,0.6783216783216783,-11,-11
Toulouse,Ajaccio,2,4,11,0.6229,0.166,0.1805,0.351875,0.525,0.123125,0.4090625,0.525,0.06593750000000001,1.62,3.95,6.64,-1.2238095238095235,0.019457735247208924,0.009516101182767855,0.4335664335664336,-1,-6
Lorient,Bordeaux,0,4,11,0.3668,0.2496,0.3808,0.077265625,0.5875,0.335234375,0.332734375,0.4625,0.204765625,2.64,3.16,3.08,-0.016587301587301706,0.0074874907227848175,0.06219095719095721,0.12587412587412594,7,3
Marseille,Nice,2,2,11,0.732,0.1827,0.0839,0.2565625,0.525,0.2184375,0.470078125,0.4874999999999999,0.042421875000000026,1.54,4.15,7.73,0.32690476190476137,0.04666916385165812,-0.08708521870286573,0.8383838383838385,-7,-14
Montpellier,Paris SG,1,1,11,0.0746,0.1642,0.759,0.236328125,0.4375,0.326171875,0.191015625,0.3625,0.4464843749999999,3.23,3.48,2.35,1.5583333333333331,-0.09688644688644686,0.16078144078144077,-0.5454545454545455,15,14
Sochaux,Lyon,1,1,11,0.1802,0.2503,0.5688,0.16625000000000004,0.45,0.38375,0.2440625,0.475,0.2809375,4.16,3.51,2.02,-0.9472222222222224,0.08415053900348018,0.1361183261183261,-0.12121212121212122,4,14
Lorient,Lille,2,0,11,0.2485,0.2089,0.5327,-0.014609374999999925,0.4624999999999999,0.552109375,0.18031250000000004,0.5249999999999999,0.29468750000000005,3.2,3.54,2.35,0.5638888888888896,-0.00549789716456385,0.08497890997891,0.0,7,5
Ajaccio,Sochaux,0,1,11,0.3889,0.5176,0.0935,0.2375,0.525,0.2375,0.30000000000000004,0.6,0.1,1.91,3.38,4.98,-2.4922222222222232,-0.011904761904761911,-0.07724527887571367,0.4195804195804196,-1,-7
Brest,Bastia,3,0,11,0.755,0.1476,0.0895,0.137578125,0.6625,0.19992187500000005,0.510625,0.45,0.03937500000000002,2.43,3.36,3.21,1.0785714285714283,-0.009765974765974794,-0.13580107256577845,0.7972027972027975,-10,3
Evian Thonon Gaillard,St Etienne,2,2,11,0.0885,0.1496,0.7549,0.15570312500000005,0.3374999999999999,0.506796875,0.10195312500000003,0.5125,0.385546875,3.72,3.46,2.16,0.6726984126984124,-0.024312261812261843,0.08658508158508156,-0.34265734265734266,13,14
