homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Celta,Malaga,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-12,nan,nan,nan,2.31,3.38,3.43,2.35,3.45,3.29
Mallorca,Espanol,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-10,nan,nan,nan,2.0,3.56,4.17,2.25,3.33,3.63
Sevilla,Getafe,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-11,nan,nan,nan,1.65,3.94,6.15,1.68,3.96,5.73
Ath Bilbao,Betis,3,5,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-7,nan,nan,nan,1.89,3.77,4.41,2.17,3.49,3.65
Barcelona,Sociedad,5,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-7,nan,nan,nan,1.1,12.0,31.0,1.09,13.96,35.36
Levante,Ath Madrid,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-11,nan,nan,nan,3.48,3.44,2.26,3.53,3.49,2.22
Real Madrid,Valencia,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-9,nan,nan,nan,1.27,6.52,12.44,1.27,6.58,12.24
La Coruna,Osasuna,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-7,nan,nan,nan,2.04,3.49,4.11,2.06,3.5,3.99
Vallecano,Granada,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-5,nan,nan,nan,2.31,3.42,3.39,2.47,3.4,3.1
Zaragoza,Valladolid,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-6,nan,nan,nan,2.23,3.5,3.5,2.62,3.19,3.07
Betis,Vallecano,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,1,nan,nan,nan,1.72,3.97,5.41,1.66,4.13,5.73
Espanol,Zaragoza,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-3,1,nan,nan,nan,1.7,3.83,5.82,1.83,3.64,4.99
Malaga,Mallorca,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,6,nan,nan,nan,1.94,3.61,4.35,2.04,3.37,4.22
Sociedad,Celta,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,5,3,nan,nan,nan,2.08,3.46,3.99,2.09,3.51,3.9
