homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Leganes,Alaves,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,2.03,3.25,4.52,1.98,3.35,4.63
Valencia,Las Palmas,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,14.0,2,14,nan,nan,nan,nan,nan,nan,1.78,4.01,4.83,1.78,4.24,4.43
Celta,Sociedad,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,12.0,3,12,nan,nan,nan,nan,nan,nan,2.44,3.4,3.16,2.12,3.53,3.74
Girona,Ath Madrid,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,20.0,5,20,nan,nan,nan,nan,nan,nan,8.36,4.38,1.49,6.93,3.83,1.63
Sevilla,Espanol,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,17.0,7,17,nan,nan,nan,nan,nan,nan,1.62,4.17,6.18,1.64,4.18,5.82
Ath Bilbao,Getafe,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,18.0,9,18,nan,nan,nan,nan,nan,nan,1.53,4.37,7.31,1.53,4.48,6.91
Barcelona,Betis,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,15.0,11,15,nan,nan,nan,nan,nan,nan,1.22,7.35,15.5,1.2,8.25,15.2
La Coruna,Real Madrid,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,12,19,nan,nan,nan,nan,nan,nan,10.26,5.79,1.33,12.4,7.0,1.26
Levante,Villarreal,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,20.0,14,20,nan,nan,nan,nan,nan,nan,3.36,3.24,2.36,3.31,3.32,2.4
Malaga,Eibar,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,19.0,15,19,nan,nan,nan,nan,nan,nan,2.24,3.36,3.49,2.2,3.27,3.85
