homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,homePoints,awayPoints,homeRank,awayRank,homeGlobalRank,awayGlobalRank,homeAccuracy,awayAccuracy,homeEfficiency,awayEfficiency,homeVulnerability,awayVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Celta,Malaga,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1,13.0,1,13,nan,nan,nan,nan,nan,nan,2.31,3.38,3.43,2.35,3.45,3.29
Mallorca,Espanol,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,2,13.0,3,13,nan,nan,nan,nan,nan,nan,2.0,3.56,4.17,2.25,3.33,3.63
Sevilla,Getafe,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3,15.0,4,15,nan,nan,nan,nan,nan,nan,1.65,3.94,6.15,1.68,3.96,5.73
Ath Bilbao,Betis,3,5,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,4,12.0,5,12,nan,nan,nan,nan,nan,nan,1.89,3.77,4.41,2.17,3.49,3.65
Barcelona,Sociedad,5,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,5,14.0,7,14,nan,nan,nan,nan,nan,nan,1.1,12.0,31.0,1.09,13.96,35.36
Levante,Ath Madrid,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,6,19.0,8,19,nan,nan,nan,nan,nan,nan,3.48,3.44,2.26,3.53,3.49,2.22
Real Madrid,Valencia,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,7,19.0,10,19,nan,nan,nan,nan,nan,nan,1.27,6.52,12.44,1.27,6.58,12.24
La Coruna,Osasuna,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,8,19.0,12,19,nan,nan,nan,nan,nan,nan,2.04,3.49,4.11,2.06,3.5,3.99
Vallecano,Granada,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,9,18.0,13,18,nan,nan,nan,nan,nan,nan,2.31,3.42,3.39,2.47,3.4,3.1
Zaragoza,Valladolid,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,10,20.0,14,20,nan,nan,nan,nan,nan,nan,2.23,3.5,3.5,2.62,3.19,3.07
Betis,Vallecano,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,11,14.0,6,5,nan,nan,nan,nan,nan,nan,1.72,3.97,5.41,1.66,4.13,5.73
Espanol,Zaragoza,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12,15.0,16,15,nan,nan,nan,nan,nan,nan,1.7,3.83,5.82,1.83,3.64,4.99
Malaga,Mallorca,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,13,9.0,8,2,nan,nan,nan,nan,nan,nan,1.94,3.61,4.35,2.04,3.37,4.22
Sociedad,Celta,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,14,9.0,17,14,nan,nan,nan,nan,nan,nan,2.08,3.46,3.99,2.09,3.51,3.9
Getafe,Real Madrid,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,15,14.0,18,12,nan,nan,nan,nan,nan,nan,10.81,5.47,1.34,9.8,6.08,1.32
Granada,Sevilla,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,16,10.0,19,4,nan,nan,nan,nan,nan,nan,2.98,3.41,2.55,2.83,3.52,2.61
Osasuna,Barcelona,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,17,12.0,20,5,nan,nan,nan,nan,nan,nan,15.37,6.66,1.24,16.39,7.25,1.22
Valencia,La Coruna,3,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,18,15.0,15,6,nan,nan,nan,nan,nan,nan,1.48,4.5,8.19,1.46,4.79,7.81
Ath Madrid,Ath Bilbao,4,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,19,13.0,16,18,nan,nan,nan,nan,nan,nan,1.62,4.13,6.2,1.56,4.55,6.3
Valladolid,Levante,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,20,14.0,12,14,nan,nan,nan,nan,nan,nan,2.1,3.44,3.93,1.93,3.57,4.53
Celta,Osasuna,2,0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,15,20.0,17,20,5.666666666666667,11.0,0.0,0.0,0.0625,0.2,2.11,3.43,3.95,1.81,3.8,4.62
La Coruna,Getafe,1,1,9,0.8977,0.1017,0.0,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,0.0,5,18.0,6,13,3.3333333333333335,3.3333333333333335,0.2,0.1,0.0,0.125,2.2,3.5,3.58,1.99,3.61,4.15
Mallorca,Sociedad,1,0,9,0.7599,0.0211,0.0089,0.35874999999999996,0.3500000000000001,0.29124999999999995,0.5,0.0,0.5,1.0,0.0,3,18.0,5,13,1.8888888888888888,2.5,0.11764705882352941,0.2,0.07692307692307693,0.2777777777777778,2.08,3.46,3.99,2.08,3.51,3.93
Zaragoza,Malaga,0,1,9,0.0,0.4493,0.5507,0.29124999999999995,0.3500000000000001,0.35874999999999996,0.5,0.0,0.5,0.0,1.0,17,5.0,11,7,3.6666666666666665,2.6666666666666665,0.0,0.0625,0.14285714285714285,0.0,2.91,3.3,2.68,3.33,3.3,2.38
Ath Bilbao,Valladolid,2,0,9,0.0,0.0117,0.9505,-0.125,0.5,0.625,0.5,0.0,0.5,0.0,1.0,16,6.0,18,5,2.125,3.5,0.17647058823529413,0.14285714285714285,0.38461538461538464,0.0,2.1,3.47,3.9,2.2,3.49,3.54
Barcelona,Valencia,1,0,9,0.7858,0.1188,0.075,0.53125,0.25,0.21875,0.5,0.0,0.5,1.0,0.3333333333333333,6,11.0,3,15,1.8,5.0,0.2777777777777778,0.2,0.2,0.041666666666666664,1.24,7.01,14.01,1.23,7.26,13.82
Levante,Espanol,3,2,9,0.4407,0.292,0.267,0.145,0.9,-0.04500000000000001,0.5,0.0,0.5,0.3333333333333333,0.0,12,17.0,16,19,6.0,2.6,0.16666666666666666,0.07692307692307693,0.09090909090909091,0.11764705882352941,2.29,3.32,3.54,2.29,3.33,3.5
Real Madrid,Granada,3,0,9,0.4596,0.5404,0.0,0.08125000000000002,0.75,0.16874999999999998,0.5,0.0,0.5,0.3333333333333333,0.0,13,19.0,17,18,2.6666666666666665,4.666666666666667,0.041666666666666664,0.0,0.2,0.0625,1.11,12.1,24.0,1.11,11.4,30.0
Vallecano,Sevilla,0,0,9,0.4596,0.5404,0.0,0.51125,0.15000000000000002,0.33875,0.5,0.0,0.5,1.0,0.3333333333333333,9,8.0,4,7,5.333333333333333,3.0,0.0625,0.1111111111111111,0.0,0.05555555555555555,2.92,3.36,2.63,3.06,3.63,2.39
Getafe,Barcelona,1,4,9,0.226,0.2154,0.5528,0.24970000000000003,0.22999999999999998,0.5203,0.5,0.0,0.5,1.0,1.0,11,2.0,10,1,3.6666666666666665,1.5,0.18181818181818182,0.13333333333333333,0.07142857142857142,0.058823529411764705,11.0,5.85,1.32,7.86,4.53,1.49
Malaga,Levante,3,1,9,0.7013,0.2987,0.0,0.433984375,0.3125,0.253515625,0.5,0.0,0.5,0.3333333333333333,0.0,14,15.0,4,8,3.0,8.0,0.05555555555555555,0.0,0.1111111111111111,0.13333333333333333,1.68,3.91,5.91,1.6,4.09,6.7
Sevilla,Real Madrid,1,0,9,0.6785,0.1749,0.1381,0.308309375,0.4225,0.269190625,0.5,0.0,0.5,1.0,0.0,9,16.0,6,9,3.2,2.8,0.125,0.07142857142857142,0.1,0.18181818181818182,5.5,4.4,1.64,5.11,4.13,1.71
Valencia,Celta,2,1,9,0.3885,0.1346,0.2534,0.11099687500000002,0.6425,0.24650312500000002,0.5,0.0,0.5,0.3333333333333333,0.0,16,13.0,17,12,2.6,3.5,0.23076923076923078,0.07142857142857142,0.23076923076923078,0.13333333333333333,1.51,4.55,7.36,1.65,4.01,6.02
Ath Madrid,Vallecano,4,3,9,0.9084,0.0907,0.0,0.40161250000000004,0.21499999999999997,0.3833875,0.5,0.0,0.5,1.0,1.0,14,3.0,12,5,1.6428571428571428,3.8,0.17391304347826086,0.10526315789473684,0.0,0.07142857142857142,1.38,5.24,9.66,1.3,5.9,11.96
Espanol,Ath Bilbao,3,3,9,0.9084,0.0907,0.0,-0.08580000000000002,0.78,0.30579999999999996,0.5,0.0,0.5,0.0,0.0,19,14.0,19,14,9.0,0.0,0.1111111111111111,0.0,0.2,0.17391304347826086,2.28,3.57,3.32,2.42,3.47,3.13
Granada,La Coruna,1,1,9,0.224,0.17,0.5594,0.01485000000000003,0.615,0.37015,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,17,10.0,19,8,2.5714285714285716,1.625,0.05555555555555555,0.23076923076923078,0.1111111111111111,0.23076923076923078,2.29,3.35,3.52,2.18,3.42,3.72
