homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Sociedad,Getafe,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-11,nan,nan,nan,1.79,3.74,5.12,1.75,3.85,5.26
Valencia,Malaga,1,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-17,-17,nan,nan,nan,1.56,4.33,6.78,1.39,5.09,9.76
Valladolid,Ath Bilbao,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-8,nan,nan,nan,2.69,3.35,2.86,2.9,3.21,2.75
Barcelona,Levante,7,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-14,-13,nan,nan,nan,1.09,14.0,30.0,1.08,15.45,32.6
Osasuna,Granada,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-14,nan,nan,nan,2.13,3.37,3.95,2.17,3.32,3.92
Real Madrid,Betis,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-10,nan,nan,nan,1.16,9.0,19.3,1.13,10.56,21.89
Sevilla,Ath Madrid,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-8,nan,nan,nan,2.89,3.39,2.64,2.81,3.36,2.71
Almeria,Villarreal,2,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-6,nan,nan,nan,2.7,3.32,2.87,2.87,3.33,2.7
Celta,Espanol,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-4,nan,nan,nan,2.23,3.33,3.69,2.57,3.14,3.18
Vallecano,Elche,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-2,nan,nan,nan,2.31,3.42,3.39,2.14,3.32,3.95
Ath Bilbao,Osasuna,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,-7,nan,nan,nan,1.65,4.14,5.82,1.85,3.54,5.05
Getafe,Almeria,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,1,nan,nan,nan,1.91,3.63,4.54,1.94,3.68,4.26
Elche,Sociedad,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,15,nan,nan,nan,3.32,3.47,2.27,3.23,3.33,2.44
Espanol,Valencia,3,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,11,nan,nan,nan,3.18,3.43,2.41,3.09,3.42,2.47
Villarreal,Valladolid,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,-7,nan,nan,nan,1.88,3.7,4.6,1.67,3.82,6.25
Ath Madrid,Vallecano,5,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,1,nan,nan,nan,1.32,5.6,11.58,1.37,5.14,10.08
Betis,Celta,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,6,nan,nan,nan,1.86,3.64,4.78,1.86,3.76,4.61
Levante,Sevilla,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,4,2,nan,nan,nan,3.54,3.45,2.21,3.74,3.44,2.17
Malaga,Barcelona,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,12,nan,nan,nan,13.7,6.78,1.25,11.15,5.93,1.31
Granada,Real Madrid,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,2,nan,nan,nan,9.11,5.52,1.37,8.78,5.52,1.38
Almeria,Elche,2,2,8,0.9522,0.0425,0.0,0.15000000000000002,0.7,0.15000000000000002,0.5,0.0,0.5,0.0,0,-2,-0.5,0.13333333333333333,-0.05844155844155843,2.07,3.68,3.79,1.92,3.71,4.36
Vallecano,Levante,1,2,8,0.2273,0.0,0.0,0.21625,0.65,0.13374999999999998,0.5,0.0,0.5,1.0,-14,-6,-1.7999999999999998,0.2727272727272727,-0.3181818181818182,1.83,3.74,4.8,2.08,3.45,3.96
Celta,Granada,1,1,8,0.079,0.1108,0.7718,0.44000000000000006,0.3999999999999999,0.16000000000000006,0.5,0.0,0.5,-0.6666666666666667,3,-5,-1.75,-0.020512820512820523,0.26190476190476186,2.23,3.47,3.53,2.18,3.36,3.8
Osasuna,Villarreal,0,3,8,0.024,0.0424,0.7649,-0.125,0.5,0.625,0.5,0.0,0.5,-1.0,10,14,-0.7000000000000002,-0.14285714285714285,0.020512820512820523,2.65,3.31,2.93,2.81,3.45,2.67
Valladolid,Getafe,1,0,8,0.6581,0.3419,0.0,-0.06375,0.85,0.21375000000000002,0.5,0.0,0.5,0.0,-3,1,-3.5,0.125,0.028846153846153855,2.27,3.37,3.53,2.17,3.49,3.66
Espanol,Betis,0,0,9,0.826,0.0906,0.0509,0.52,0.6,-0.12000000000000005,0.5,0.0,0.5,1.0,-11,-11,1.583333333333333,0.13986013986013987,0.024999999999999994,2.11,3.58,3.76,2.2,3.35,3.76
Real Madrid,Ath Bilbao,3,1,9,0.2655,0.2423,0.4896,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,-1,-2.1111111111111107,-0.05384615384615385,-0.03409090909090909,1.18,8.4,17.8,1.22,7.8,13.5
Sevilla,Malaga,2,2,9,0.4409,0.5591,0.0,0.21375000000000002,0.85,-0.06375,0.5,0.0,0.5,0.0,-3,-4,-2.7,0.07142857142857142,0.0763888888888889,1.62,4.14,6.27,1.81,3.65,5.18
Sociedad,Ath Madrid,1,2,9,0.6874,0.3126,0.0,0.33875,0.15000000000000002,0.51125,0.5,0.0,0.5,0.0,-4,3,0.0,-0.0625,-0.07142857142857142,2.88,3.51,2.58,3.17,3.47,2.4
Valencia,Barcelona,2,3,9,0.0,1.0,0.0,0.15499999999999997,0.30000000000000004,0.5449999999999999,0.5,0.0,0.5,0.0,0,7,7.636363636363637,0.04444444444444444,0.0,6.13,4.54,1.57,6.56,4.49,1.55
Ath Madrid,Almeria,4,2,9,0.8564,0.0028,0.0,0.542265625,0.3125,0.145234375,0.5,0.0,0.5,0.6666666666666667,-1,-11,0.5142857142857142,0.23214285714285715,-0.14285714285714285,1.27,6.32,13.73,1.3,5.94,11.92
Barcelona,Sevilla,3,2,9,0.0,1.0,0.0,0.542265625,0.3125,0.145234375,0.5,0.0,0.5,0.6666666666666667,-3,-12,-4.3076923076923075,0.3181818181818182,0.0,1.19,8.48,15.71,1.14,10.2,22.81
Levante,Sociedad,0,0,9,0.0,1.0,0.0,0.330275,0.505,0.164725,0.5,0.0,0.5,0.0,7,1,-0.08333333333333348,-0.09090909090909091,-0.08333333333333333,3.23,3.38,2.42,3.37,3.37,2.34
Villarreal,Real Madrid,2,2,9,0.0,0.4541,0.5459,0.495,0.010000000000000009,0.495,0.5,0.0,0.5,0.0,5,1,0.20833333333333348,0.0700280112044818,0.16666666666666666,5.81,4.36,1.61,4.7,3.89,1.79
Betis,Valencia,3,1,9,0.4136,0.2313,0.3488,0.10999999999999999,0.78,0.10999999999999999,0.5,0.0,0.5,0.0,2,7,-0.6666666666666665,-0.075,-0.07692307692307693,2.77,3.41,2.74,2.86,3.47,2.63
Getafe,Osasuna,2,1,9,0.8958,0.1037,0.0,0.120346875,0.9175,-0.03784687499999999,0.5,0.0,0.5,0.3333333333333333,-2,-2,-0.8000000000000003,0.14285714285714285,-0.125,2.1,3.45,3.95,2.24,3.38,3.6
Granada,Espanol,0,1,9,0.0,0.2132,0.7868,0.19525000000000003,0.44999999999999996,0.35475,0.5,0.0,0.5,-0.3333333333333333,7,4,1.4666666666666666,-0.3333333333333333,-0.08571428571428572,2.42,3.46,3.14,2.54,3.25,3.15
Malaga,Vallecano,5,0,9,0.0,1.0,0.0,0.10999999999999999,0.78,0.10999999999999999,0.5,0.0,0.5,0.0,0,4,-4.0,0.0,-0.2904761904761905,1.97,3.55,4.34,1.81,3.98,4.59
Ath Bilbao,Celta,3,2,9,0.6623,0.3377,0.0,0.2641375,0.395,0.34086249999999996,0.5,0.0,0.5,0.0,4,-2,0.75,0.09615384615384615,-0.05,1.76,3.92,5.06,1.75,4.03,4.98
Elche,Valladolid,0,0,9,0.4166,0.3144,0.2688,0.18442187499999999,0.5875,0.228078125,0.5,0.0,0.5,0.3333333333333333,1,4,3.0,-0.08333333333333333,-0.0267379679144385,2.25,3.32,3.64,2.17,3.24,3.99
Osasuna,Elche,2,1,9,0.1141,0.1944,0.6894,-0.0871875,0.775,0.31218749999999995,-0.06375,0.85,0.21375000000000002,-0.2,5,3,-1.9333333333333331,-0.030952380952380953,-0.0038850038850038737,2.1,3.47,3.9,2.25,3.38,3.57
Almeria,Levante,2,2,9,0.5932,0.0995,0.1079,0.07468749999999999,0.575,0.3503125,0.10874999999999999,0.55,0.34124999999999994,-0.39999999999999997,10,11,1.1500000000000004,0.0111111111111111,-0.007020515716167908,1.89,3.65,4.59,1.95,3.61,4.34
Sociedad,Malaga,0,0,9,0.4576,0.2952,0.2469,0.18031250000000004,0.5249999999999999,0.29468750000000005,0.21625,0.65,0.13374999999999998,0.39999999999999997,-8,-5,-1.416666666666667,0.04583333333333334,-0.05972222222222222,1.94,3.7,4.26,1.88,3.66,4.67
Valladolid,Ath Madrid,0,2,9,0.0872,0.1846,0.7268,0.21875,0.25,0.53125,0.28,0.19999999999999996,0.52,-0.6,7,9,1.5277777777777777,-0.06994047619047619,-0.008791208791208788,5.75,3.88,1.7,5.95,3.97,1.67
Vallecano,Barcelona,0,4,9,0.253,0.2454,0.4995,-0.05124999999999996,0.44999999999999996,0.6012500000000001,0.15499999999999997,0.30000000000000004,0.5449999999999999,-0.6,10,16,0.7445707070707073,0.04976943346508561,0.10416666666666666,16.85,7.75,1.2,17.68,8.26,1.19
Betis,Granada,0,0,9,0.2545,0.2358,0.5066,0.32000000000000006,0.6,0.07999999999999999,0.29124999999999995,0.3500000000000001,0.35874999999999996,-0.20000000000000007,6,-1,-0.2916666666666665,-0.14716117216117217,0.11179702650290888,1.75,3.86,5.31,1.73,3.74,5.74
Celta,Villarreal,0,0,9,0.0546,0.0932,0.8177,0.16000000000000006,0.3999999999999999,0.44000000000000006,0.21875,0.25,0.53125,-0.7999999999999999,13,5,0.0,-0.17773109243697477,0.26666666666666666,2.79,3.47,2.68,2.87,3.48,2.4
Real Madrid,Getafe,4,1,9,0.8878,0.1117,0.0,0.42625,0.35,0.22375,0.625,0.5,-0.125,1.2,-18,-10,-1.2103174603174605,0.125,0.0008116883116883189,1.12,11.39,23.81,1.12,10.5,25.3
Valencia,Sevilla,3,1,9,0.4003,0.2704,0.3282,0.019062500000000024,0.825,0.1559375,0.23500000000000004,0.7,0.06500000000000002,0.39999999999999997,-3,-5,0.5499999999999998,-0.024801587301587297,-0.00394736842105263,1.92,3.85,4.18,2.18,3.41,3.73
Espanol,Ath Bilbao,3,2,9,0.6486,0.2256,0.125,0.40625,0.25,0.34375,0.38375,0.44999999999999996,0.16625000000000006,0.20000000000000007,-1,1,-1.333333333333333,-0.0032051282051281937,-0.07500000000000001,2.4,3.4,3.23,2.34,3.13,3.07
Ath Madrid,Osasuna,2,1,9,0.8665,0.0169,0.0044,0.56125,0.35,0.08875000000000002,0.625,0.5,-0.125,1.2,-12,-14,-0.06666666666666687,0.2331168831168831,-0.053571428571428575,1.23,6.83,16.69,1.22,7.06,17.35
Barcelona,Sociedad,4,1,9,0.6326,0.265,0.1023,0.5378125,0.275,0.18718749999999998,0.53125,0.25,0.21875,0.7999999999999999,-5,-5,-1.7455128205128205,0.19258373205741625,0.10119047619047619,1.13,10.85,22.3,1.07,10.78,25.11
Levante,Valladolid,1,1,9,0.0,1.0,0.0,0.306640625,0.5625,0.130859375,0.28,0.6,0.12,0.2,6,-4,0.1333333333333333,-0.08333333333333333,-0.058823529411764705,2.21,3.35,3.71,2.24,3.3,3.7
Malaga,Almeria,2,0,9,0.8443,0.0535,0.0263,0.275703125,0.5875,0.13679687499999998,0.36,0.6,0.04000000000000001,0.39999999999999997,2,-4,-0.44841269841269815,-0.05829831932773108,-0.1380952380952381,1.68,4.05,5.61,1.82,3.8,4.83
Elche,Real Madrid,1,2,9,0.1428,0.4789,0.3783,0.09070312500000002,0.4125,0.496796875,0.23,0.4,0.37,-0.4,13,16,1.020833333333333,-0.03214285714285715,-0.007177033492822962,11.8,6.15,1.29,11.11,6.1,1.31
