homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Fiorentina,Udinese,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-19,-19,nan,nan,nan,2.1,3.32,4.13,1.97,3.31,4.74
Juventus,Parma,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-16,-16,nan,nan,nan,1.33,5.28,12.27,1.36,5.03,11.65
Atalanta,Lazio,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-13,nan,nan,nan,2.47,3.19,3.33,2.68,3.2,2.98
Chievo,Bologna,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-7,nan,nan,nan,2.23,3.16,3.92,2.04,3.25,4.45
Genoa,Cagliari,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-8,nan,nan,nan,2.03,3.31,4.37,2.64,3.14,3.1
Milan,Sampdoria,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-12,nan,nan,nan,1.43,4.69,9.34,1.51,4.15,8.5
Palermo,Napoli,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-9,nan,nan,nan,3.12,3.34,2.5,3.24,3.42,2.39
Pescara,Inter,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-7,nan,nan,nan,4.88,3.69,1.84,3.99,3.32,2.15
Roma,Catania,2,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-9,-5,nan,nan,nan,1.4,4.94,9.59,1.47,4.65,8.0
Siena,Torino,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-7,-2,nan,nan,nan,2.36,3.12,3.62,2.44,3.13,3.45
Bologna,Milan,1,3,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-1,3,nan,nan,nan,3.9,3.34,2.15,4.34,3.63,1.94
Torino,Pescara,3,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-2,-4,nan,nan,nan,1.86,3.39,5.3,1.87,3.33,5.42
Cagliari,Atalanta,1,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,4,nan,nan,nan,2.38,3.11,3.48,2.76,3.14,2.95
Catania,Genoa,3,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,10,nan,nan,nan,2.07,3.27,4.17,1.79,3.66,5.32
Inter,Roma,1,3,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0,-5,nan,nan,nan,2.05,3.75,3.75,2.0,3.91,3.75
Lazio,Palermo,3,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,2,-6,nan,nan,nan,1.7,3.74,6.0,1.54,4.34,7.05
Napoli,Fiorentina,2,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,6,nan,nan,nan,1.8,3.67,5.23,1.77,3.66,5.44
Parma,Chievo,2,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,6,11,nan,nan,nan,2.1,3.15,4.44,2.22,3.31,3.71
Sampdoria,Siena,2,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,-2,nan,nan,nan,1.9,3.44,4.9,1.92,3.45,4.8
Udinese,Juventus,1,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,9,12,nan,nan,nan,5.5,3.48,1.81,5.09,3.61,1.83
