homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Sampdoria,Juventus,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-11,nan,nan,nan,7.94,4.02,1.55,8.38,4.53,1.47
Verona,Milan,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-14,nan,nan,nan,5.15,3.69,1.79,5.75,3.59,1.76
Cagliari,Atalanta,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-9,nan,nan,nan,2.56,3.18,3.18,2.54,3.22,3.18
Inter,Genoa,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-11,nan,nan,nan,1.65,3.95,6.17,1.65,4.05,5.92
Lazio,Udinese,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-14,nan,nan,nan,2.0,3.48,4.2,1.93,3.48,4.63
Livorno,Roma,0,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-11,nan,nan,nan,3.97,3.61,2.04,4.46,3.6,1.93
Napoli,Bologna,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-6,nan,nan,nan,1.39,4.95,9.83,1.4,5.26,8.47
Parma,Chievo,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-5,-3,nan,nan,nan,1.85,3.6,4.85,1.84,3.5,5.23
Torino,Sassuolo,2,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-10,-7,nan,nan,nan,2.07,3.41,4.04,2.16,3.29,3.96
Fiorentina,Catania,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-6,-3,nan,nan,nan,1.48,4.5,8.09,1.42,4.78,9.53
Chievo,Napoli,2,4,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,6,nan,nan,nan,5.15,3.54,1.84,4.22,3.41,2.05
Juventus,Lazio,4,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,3,nan,nan,nan,1.37,4.92,10.31,1.4,4.87,9.69
Atalanta,Torino,2,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1,7,nan,nan,nan,2.18,3.27,3.92,2.19,3.22,3.94
Bologna,Sampdoria,2,2,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,9,2,nan,nan,nan,2.3,3.24,3.61,2.28,3.23,3.69
Catania,Inter,0,3,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,7,11,nan,nan,nan,2.92,3.27,2.69,2.97,3.48,2.53
Genoa,Fiorentina,2,5,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,3,9,nan,nan,nan,4.27,3.59,1.97,3.71,3.26,2.26
Milan,Cagliari,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,8,12,nan,nan,nan,1.41,4.87,9.65,1.44,4.56,9.5
Roma,Verona,3,0,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,10,6,nan,nan,nan,1.47,4.66,8.09,1.48,4.5,8.21
Sassuolo,Livorno,1,4,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,8,3,nan,nan,nan,2.04,3.33,4.34,2.05,3.36,4.26
Udinese,Parma,3,1,9,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,8,6,nan,nan,nan,2.14,3.41,3.86,2.09,3.34,4.13
Inter,Juventus,1,1,9,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-2,-3,1.25,0.009090909090909094,0.0,3.79,3.28,2.22,4.34,3.28,2.07
Napoli,Atalanta,2,0,9,0.9548,0.039,0.0,0.52,0.19999999999999996,0.28,0.5,0.0,0.5,1.0,-9,-8,-2.8333333333333335,0.09659090909090909,-0.08695652173913043,1.38,5.06,10.2,1.37,5.39,9.2
Torino,Milan,2,2,9,0.8845,0.1151,0.0,0.17500000000000002,0.5,0.32499999999999996,0.5,0.0,0.5,1.0,-12,-2,-0.20000000000000018,0.07619047619047618,-0.14285714285714285,4.81,3.56,1.88,4.59,3.59,1.91
Fiorentina,Cagliari,1,1,9,0.8318,0.096,0.05,0.5449999999999999,0.30000000000000004,0.15499999999999997,0.5,0.0,0.5,1.0,-4,-5,-2.3333333333333335,0.024999999999999994,-0.0995475113122172,1.43,4.77,8.8,1.55,4.15,7.52
Lazio,Chievo,3,0,9,0.0,1.0,0.0,0.23500000000000004,0.7,0.06500000000000002,0.5,0.0,0.5,0.6666666666666667,-2,-6,-1.9999999999999996,0.1,0.14285714285714285,1.67,3.83,6.24,1.66,3.8,6.43
