homeTeam,awayTeam,homeGoals,awayGoals,month,pHomeWin1,pDraw1,pAwayWin1,pHomeWin2,pDraw2,pAwayWin2,pHomeWin3,pDraw3,pAwayWin3,dPoints,dRank,dGlobalRank,dAccuracy,dEfficiency,dVulnerability,openningOddHome,openningOddDraw,openningOddAway,closingOddHome,closingOddDraw,closingOddAway
Juventus,Cagliari,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-19,-19,nan,nan,nan,1.16,8.29,24.44,1.13,9.74,27.7
Verona,Napoli,1,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-15,nan,nan,nan,8.46,5.08,1.42,8.37,5.21,1.41
Atalanta,Roma,0,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-11,-10,nan,nan,nan,3.17,3.56,2.36,2.99,3.44,2.53
Bologna,Torino,1,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-15,-13,nan,nan,nan,3.29,3.42,2.36,3.35,3.47,2.31
Crotone,Milan,0,3,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-13,-10,nan,nan,nan,6.04,4.2,1.62,7.42,4.37,1.52
Inter,Fiorentina,3,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-8,nan,nan,nan,1.57,4.42,6.33,1.48,4.65,7.7
Lazio,Spal,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-12,-8,nan,nan,nan,1.31,5.72,12.15,1.29,6.22,11.85
Sampdoria,Benevento,2,1,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-3,nan,nan,nan,1.69,3.96,5.63,1.64,4.18,5.86
Sassuolo,Genoa,0,0,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-3,nan,nan,nan,2.18,3.49,3.63,1.9,3.66,4.53
Udinese,Chievo,1,2,8,nan,nan,nan,0.5,0.0,0.5,0.5,0.0,0.5,0.0,-8,-2,nan,nan,nan,2.11,3.44,3.91,2.06,3.45,4.08
